beta,seed,method,iter,cum_overrides,n_reviews,n_overrides,override_rate,reviewed_fraction,sign_acc_nonzero,pearson_r,exact_class_acc,alone_twt
0.75,302,m2a,6,3737,6582,566,0.0860,0.2458,0.6967,0.4549,0.3443,2826.0768
0.75,302,m2a,7,4261,6578,524,0.0797,0.2456,0.6942,0.4523,0.3443,2814.4262
0.75,303,m0,0,597,6678,597,0.0894,,0.7241,0.4135,0.3424,2262.6142
0.75,303,m0,1,817,6615,220,0.0333,,0.7843,0.4539,0.3404,2054.6866
0.75,303,m0,2,998,6619,181,0.0273,,0.8132,0.4779,0.3426,2059.1998
0.75,303,m0,3,1213,6663,215,0.0323,,0.8235,0.4438,0.3409,2046.5441
0.75,303,m0,4,1442,6604,229,0.0347,,0.7803,0.4934,0.3400,2049.5872
0.75,303,m0,5,1686,6651,244,0.0367,,0.6965,0.4215,0.3396,2098.0744
0.75,303,m0,6,1961,6657,275,0.0413,,0.6954,0.3372,0.3371,2119.8702
0.75,303,m0,7,2246,6645,285,0.0429,,0.7565,0.3930,0.3368,2101.0208
0.75,303,m2t,0,627,6686,627,0.0938,0.2499,0.6711,0.4273,0.3442,2800.4349
0.75,303,m2t,1,1038,6339,411,0.0648,0.2363,0.6488,0.3434,0.3443,2829.1466
0.75,303,m2t,2,1635,6623,597,0.0901,0.2467,0.6454,0.3789,0.3443,2898.5589
0.75,303,m2t,3,2150,6620,515,0.0778,0.2474,0.6697,0.3817,0.3443,2757.9000
0.75,303,m2t,4,2657,6581,507,0.0770,0.2453,0.6709,0.3891,0.3443,2779.5878
0.75,303,m2t,5,3201,6594,544,0.0825,0.2460,0.6763,0.3980,0.3443,2789.9871
0.75,303,m2t,6,3711,6581,510,0.0775,0.2458,0.6786,0.3943,0.3443,2782.1186
0.75,303,m2t,7,4222,6585,511,0.0776,0.2459,0.6717,0.3967,0.3443,2777.1998
0.75,303,m2a,0,610,6650,610,0.0917,0.2485,0.6643,0.4487,0.3443,2794.5253
0.75,303,m2a,1,1059,6441,449,0.0697,0.2402,0.6830,0.4285,0.3443,2896.7340
0.75,303,m2a,2,1610,6603,551,0.0834,0.2466,0.6923,0.4657,0.3443,2868.2942
0.75,303,m2a,3,2115,6590,505,0.0766,0.2460,0.6871,0.4603,0.3443,2803.1798
0.75,303,m2a,4,2624,6584,509,0.0773,0.2459,0.6869,0.4529,0.3443,2805.6688
0.75,303,m2a,5,3144,6582,520,0.0790,0.2456,0.6881,0.4607,0.3443,2812.4783
0.75,303,m2a,6,3669,6576,525,0.0798,0.2454,0.6841,0.4590,0.3443,2812.0339
0.75,303,m2a,7,4183,6575,514,0.0782,0.2452,0.6883,0.4587,0.3443,2810.0089
