beta,seed,method,inst_id,rule,alone,plus_sup,rule_sup,oracle
1.0,301,m2a,c09_storm2_w80_u100_0029.json,4540.255600,3773.876400,2078.748000,2328.602400,1226.778800
1.0,302,m0,c09_storm2_w80_u100_0020.json,2113.920800,1723.539600,1631.607600,1974.308800,1660.290800
1.0,302,m0,c09_storm2_w80_u100_0021.json,2468.501600,2169.646000,2146.010400,2425.110000,2178.691200
1.0,302,m0,c09_storm2_w80_u100_0022.json,1216.011200,994.066400,992.236400,1099.216000,991.862400
1.0,302,m0,c09_storm2_w80_u100_0023.json,5676.362400,2822.065200,2685.714000,4018.612400,2621.206400
1.0,302,m0,c09_storm2_w80_u100_0024.json,4396.206800,2181.403200,2024.340000,2834.593600,1996.894800
1.0,302,m0,c09_storm2_w80_u100_0025.json,6411.756400,2943.910000,2568.256000,4054.931600,2533.840800
1.0,302,m0,c09_storm2_w80_u100_0026.json,5006.202000,2376.272000,2289.852000,4109.313600,1938.243600
1.0,302,m0,c09_storm2_w80_u100_0027.json,2535.368000,1851.201200,1673.368400,2061.197200,1685.882800
1.0,302,m0,c09_storm2_w80_u100_0028.json,2083.722400,1309.272400,1306.246800,2021.848800,1316.495200
1.0,302,m0,c09_storm2_w80_u100_0029.json,4540.255600,1635.014000,1284.388000,2328.602400,1226.778800
1.0,302,m2t,c09_storm2_w80_u100_0020.json,2113.920800,1808.272800,1692.816400,1974.308800,1660.290800
1.0,302,m2t,c09_storm2_w80_u100_0021.json,2468.501600,2158.043200,2153.151600,2425.110000,2178.691200
1.0,302,m2t,c09_storm2_w80_u100_0022.json,1216.011200,1054.651600,1032.859600,1099.216000,991.862400
1.0,302,m2t,c09_storm2_w80_u100_0023.json,5676.362400,4337.612800,3196.116400,4018.612400,2621.206400
1.0,302,m2t,c09_storm2_w80_u100_0024.json,4396.206800,3400.928000,2618.012800,2834.593600,1996.894800
1.0,302,m2t,c09_storm2_w80_u100_0025.json,6411.756400,4582.551200,3182.842800,4054.931600,2533.840800
1.0,302,m2t,c09_storm2_w80_u100_0026.json,5006.202000,3523.881600,3060.887200,4109.313600,1938.243600
1.0,302,m2t,c09_storm2_w80_u100_0027.json,2535.368000,2017.548800,1858.232800,2061.197200,1685.882800
1.0,302,m2t,c09_storm2_w80_u100_0028.json,2083.722400,1330.304800,1336.500800,2021.848800,1316.495200
1.0,302,m2t,c09_storm2_w80_u100_0029.json,4540.255600,3676.508800,1916.130800,2328.602400,1226.778800
1.0,302,m2a,c09_storm2_w80_u100_0020.json,2113.920800,1856.341200,1725.504400,1974.308800,1660.290800
1.0,302,m2a,c09_storm2_w80_u100_0021.json,2468.501600,2186.977200,2197.941600,2425.110000,2178.691200
1.0,302,m2a,c09_storm2_w80_u100_0022.json,1216.011200,998.125600,1009.274800,1099.216000,991.862400
1.0,302,m2a,c09_storm2_w80_u100_0023.json,5676.362400,4480.478000,3292.105200,4018.612400,2621.206400
1.0,302,m2a,c09_storm2_w80_u100_0024.json,4396.206800,3593.093200,2345.159600,2834.593600,1996.894800
1.0,302,m2a,c09_storm2_w80_u100_0025.json,6411.756400,4776.685200,3268.272000,4054.931600,2533.840800
1.0,302,m2a,c09_storm2_w80_u100_0026.json,5006.202000,3166.121600,2922.948400,4109.313600,1938.243600
1.0,302,m2a,c09_storm2_w80_u100_0027.json,2535.368000,2056.864000,1853.526000,2061.197200,1685.882800
1.0,302,m2a,c09_storm2_w80_u100_0028.json,2083.722400,1384.482800,1356.989200,2021.848800,1316.495200
1.0,302,m2a,c09_storm2_w80_u100_0029.json,4540.255600,3846.236000,2001.287600,2328.602400,1226.778800
1.0,305,m0,c09_storm2_w80_u100_0020.json,2113.920800,1644.047600,1614.148000,1974.308800,1660.290800
1.0,305,m0,c09_storm2_w80_u100_0021.json,2468.501600,2136.103200,2136.103200,2425.110000,2178.691200
