cell,tag,arm,policy,split_fit,alpha,band_mode,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0022,936.385600,897.884000,974.080800,932.568000,873.416000,0.242303,0.027624,0.248684,0.021164
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0023,4099.384400,2995.451200,3653.999600,2664.506000,2308.195200,0.250147,0.120000,0.248098,0.115566
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0024,1943.420000,1302.835200,1900.879200,1392.444000,1285.333600,0.250158,0.070707,0.242443,0.046753
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0025,3707.412000,3104.368400,3319.077600,2422.898000,1896.992800,0.243106,0.076389,0.241031,0.055814
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0026,3150.937600,2391.564400,2703.650800,2206.548000,1851.407200,0.250294,0.077647,0.250147,0.054245
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0027,1808.482000,1470.869200,1527.429200,1374.056400,1322.403200,0.250158,0.060759,0.250000,0.027848
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0028,1488.968400,1430.067200,1506.272800,1426.837600,1174.773600,0.250000,0.045570,0.250316,0.017677
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0029,2294.863600,1575.504400,1844.144400,1337.784000,1059.860800,0.250139,0.059867,0.240199,0.048276
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0020,1473.651200,1342.049200,1355.818000,1291.993600,1177.979600,0.246264,0.080097,0.246429,0.038647
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0021,1519.953200,1425.260000,1469.584400,1405.528400,1348.460800,0.250169,0.075472,0.248993,0.016173
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0022,936.385600,897.884000,957.247600,913.755200,873.416000,0.240964,0.025000,0.246530,0.021448
