campus,track,size,alpha,inst_id,n_bldg,n_restr_bldg,n_restr_jobs,rule_rec,rule_access,rule_twt,rule_feas,reorder_twt,reorder_access,reorder_feas,defer_twt,defer_rec,defer_access,defer_feas
5,replay,150,0.1,c05_replay_150_0033,69,7,17,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0033,69,11,26,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0034,66,7,15,442.50070000000005,448.0,890.5007,True,495.8040000000002,0.0,True,495.8040000000002,495.8040000000002,0.0,True
5,replay,150,0.2,c05_replay_150_0034,66,15,37,442.50070000000005,1024.0,1466.5007,True,518.5887000000002,0.0,True,518.5887000000002,518.5887000000002,0.0,True
5,replay,150,0.1,c05_replay_150_0035,74,12,22,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0035,74,20,34,0.0,320.0,320.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0036,77,7,12,21.729600000000005,256.0,277.7296,True,277.7296,256.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0036,77,11,17,21.729600000000005,320.0,341.7296,True,341.7296,320.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0037,60,8,13,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0037,60,11,20,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0038,76,9,16,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0038,76,14,33,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0039,74,6,13,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0039,74,15,30,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0040,76,6,6,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0040,76,16,21,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0041,73,7,16,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0041,73,15,34,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0042,70,8,16,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0042,70,14,24,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0043,74,7,20,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0043,74,12,29,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0044,62,8,29,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0044,62,14,36,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0045,77,7,11,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0045,77,11,16,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0046,60,5,14,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0046,60,9,28,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0047,69,5,10,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0047,69,18,32,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0048,67,5,15,4.0,128.0,132.0,True,132.0,128.0,True,4.0,4.0,0.0,True
5,replay,150,0.2,c05_replay_150_0048,67,18,40,4.0,384.0,388.0,True,388.0,384.0,True,4.0,4.0,0.0,True
5,replay,150,0.1,c05_replay_150_0049,73,11,28,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0049,73,15,35,0.0,512.0,512.0,True,512.0,512.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0050,69,5,9,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0050,69,9,17,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
