campus,track,level,rule,beta,inst_id,twt_rule,twt_oracle
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0020,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0020,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0021,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0021,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0021,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0021,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0022,12.1744,12.1744
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0022,12.1744,12.1744
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0022,12.1744,12.1744
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0022,12.1744,12.1744
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0023,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0023,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0023,4.5066,4.5066
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0023,4.5066,4.5066
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0024,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0024,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0024,2.0140,2.0140
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0024,2.0140,2.0140
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0025,15.1999,15.1999
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0025,15.1999,15.1999
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0025,63.7862,63.7862
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0025,63.7862,63.7862
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0026,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0026,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0026,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0026,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0027,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0027,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0027,9.4600,9.4600
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0027,9.4600,9.4600
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0028,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0028,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0028,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0028,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0029,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0029,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0029,5.0756,5.0756
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0029,5.0756,5.0756
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0000,3.4560,3.4560
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0000,3.4560,3.4560
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0000,46.0834,46.0834
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0000,46.0834,46.0834
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0001,7.8872,7.8872
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0001,7.8872,7.8872
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0001,7.8872,7.8872
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0001,7.8872,7.8872
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0002,0.0000,0.0000
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0002,0.0000,0.0000
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0002,9.4316,9.4316
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0002,9.4316,9.4316
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0003,0.1560,0.1560
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0003,0.1560,0.1560
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0003,6.7882,6.7882
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0003,6.7882,6.7882
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0004,8.3488,8.3488
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0004,8.3488,8.3488
5,storm,a125_c80,atc,1.0,c05_storm_150_a125_c80_0004,0.0000,0.0000
5,storm,a125_c80,edd,1.0,c05_storm_150_a125_c80_0004,0.0000,0.0000
5,storm,a125_c80,atc,0.5,c05_storm_150_a125_c80_0005,24.0076,24.0076
5,storm,a125_c80,edd,0.5,c05_storm_150_a125_c80_0005,24.0076,24.0076
