campus,track,size,level,beta,inst_id,nwo,status_rule,status_rule_fair,status_oracle,both_opt,both_opt_fair,twt_rule,twt_rule_fair,twt_oracle
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0011,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,200.4430,94.1522,94.1522
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0012,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,60.4560,0.0784,0.0784
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0012,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,34.2206,1.9818,1.9818
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0013,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,494.1468,366.5164,362.1164
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0013,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,630.5920,503.0948,498.6948
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0014,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,373.6148,287.4404,287.4404
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0014,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,340.5216,287.4404,287.4404
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0015,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,232.1760,169.4676,169.4676
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0015,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,174.7904,174.7104,174.7104
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0016,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,111.0640,94.7840,94.7840
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0016,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,223.7924,110.8664,110.8664
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0017,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,227.9236,182.4224,182.4224
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0017,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,355.6261,122.8930,122.8930
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0018,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,333.7867,87.9455,87.9455
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0018,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,251.6898,51.6720,51.6720
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0019,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,226.0430,123.4136,123.4136
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0019,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,88.1842,47.3812,47.3812
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0000,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,742.6012,327.1383,327.1383
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0000,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,354.6428,259.9844,259.9844
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0001,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,637.9312,62.6454,56.4746
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0001,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,561.6878,100.8537,100.5737
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0002,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,1364.2519,926.0160,926.0160
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0002,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,1647.1881,1283.3578,1283.3578
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0003,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,462.8023,238.7116,238.7116
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0003,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,420.6263,272.5044,272.5044
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0004,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,765.5887,561.7776,561.7776
12,storm,150,a300_c80,1.0,c12_storm_150_a300_c80_0004,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,538.0524,474.0516,474.0516
12,storm,150,a300_c80,0.5,c12_storm_150_a300_c80_0005,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,761.7287,376.2982,376.2982
