scope,campus,track,size,level,arr_mult,beta,n,mean_atc,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses
campus,9,storm,400,a125_c80,1.250,0.75,30,123.0334,123.0334,0.0000,0.0000,0,30,0
campus,9,storm,400,a125_c80,1.250,1.0,30,122.0395,122.0395,0.0000,0.0000,0,30,0
campus,9,storm,400,a150_c100,1.500,0.5,30,130.7962,130.7962,0.0000,0.0000,0,30,0
campus,9,storm,400,a150_c100,1.500,0.75,30,128.3692,128.3692,0.0000,0.0000,0,30,0
campus,9,storm,400,a150_c100,1.500,1.0,30,115.9123,115.9123,0.0000,0.0000,0,30,0
campus,9,storm,400,a150_c80,1.500,0.5,30,113.4850,113.4850,0.0000,0.0000,0,30,0
campus,9,storm,400,a150_c80,1.500,0.75,30,120.8433,120.8433,0.0000,0.0000,0,30,0
campus,9,storm,400,a150_c80,1.500,1.0,30,115.9123,115.9123,0.0000,0.0000,0,30,0
campus,9,storm,400,a200_c100,2.000,0.5,30,121.8559,121.8559,0.0000,0.0000,0,30,0
campus,9,storm,400,a200_c100,2.000,0.75,30,128.2343,128.2343,0.0000,0.0000,0,30,0
campus,9,storm,400,a200_c100,2.000,1.0,30,132.2047,132.2047,0.0000,0.0000,0,30,0
campus,9,storm,400,a200_c80,2.000,0.5,30,87.9470,87.9470,0.0000,0.0000,0,30,0
campus,9,storm,400,a200_c80,2.000,0.75,30,87.5853,87.5853,0.0000,0.0000,0,30,0
campus,9,storm,400,a200_c80,2.000,1.0,30,86.5156,86.5156,0.0000,0.0000,0,30,0
campus,9,storm,400,a300_c100,3.000,0.5,30,139.5985,139.6753,-0.0768,-0.0550,0,29,1
campus,9,storm,400,a300_c100,3.000,0.75,30,141.2834,141.3602,-0.0768,-0.0544,0,29,1
campus,9,storm,400,a300_c100,3.000,1.0,30,142.0347,142.1115,-0.0768,-0.0541,0,29,1
campus,9,storm,400,a300_c80,3.000,0.5,30,110.0182,110.0445,-0.0263,-0.0239,1,28,1
campus,9,storm,400,a300_c80,3.000,0.75,30,107.3064,107.3326,-0.0263,-0.0245,1,28,1
campus,9,storm,400,a300_c80,3.000,1.0,30,103.4661,103.4088,0.0573,0.0554,1,29,0
campus,9,storm2,w80,u70,5.253,0.5,30,538.0707,538.8895,-0.8187,-0.1522,1,23,6
campus,9,storm2,w80,u70,5.253,0.75,30,537.8854,538.6090,-0.7237,-0.1345,0,26,4
campus,9,storm2,w80,u70,5.253,1.0,30,524.3491,524.5406,-0.1915,-0.0365,0,27,3
campus,9,storm2,w80,u90,6.754,0.5,30,674.5644,672.1977,2.3668,0.3509,13,7,10
campus,9,storm2,w80,u90,6.754,0.75,30,681.5759,679.7249,1.8510,0.2716,13,8,9
campus,9,storm2,w80,u90,6.754,1.0,30,685.1285,683.3491,1.7794,0.2597,11,12,7
campus,9,storm2,w80,u100,7.505,0.5,30,741.1532,739.2506,1.9026,0.2567,12,6,12
campus,9,storm2,w80,u100,7.505,0.75,30,766.7877,765.3575,1.4301,0.1865,13,7,10
campus,9,storm2,w80,u100,7.505,1.0,30,765.7214,763.7409,1.9805,0.2586,14,8,8
campus,9,storm2,w80,u110,8.255,0.5,30,793.6300,788.8807,4.7492,0.5984,14,7,9
campus,9,storm2,w80,u110,8.255,0.75,30,814.0438,810.7116,3.3322,0.4093,12,7,11
campus,9,storm2,w80,u110,8.255,1.0,30,817.7886,816.7089,1.0797,0.1320,14,6,10
campus,9,storm2,w80,u130,9.756,0.5,30,1021.8866,1021.8308,0.0557,0.0055,13,3,14
campus,9,storm2,w80,u130,9.756,0.75,30,1044.4108,1040.5030,3.9078,0.3742,15,3,12
campus,9,storm2,w80,u130,9.756,1.0,30,1041.3066,1036.3608,4.9458,0.4750,15,2,13
campus,10,pmmix,150,p20_c100,1.000,0.5,30,62.4487,62.4487,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c100,1.000,0.75,30,64.6288,64.6288,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c100,1.000,1.0,30,64.6288,64.6288,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c100,1.000,0.5,30,23.8869,23.8869,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c100,1.000,0.75,30,27.2743,27.2743,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c100,1.000,1.0,30,19.8025,19.8025,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c100,1.000,0.5,30,2.0947,2.0947,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c100,1.000,0.75,30,2.0947,2.0947,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c100,1.000,1.0,30,2.4147,2.4147,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c80,1.000,0.5,30,65.1235,65.1235,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c80,1.000,0.75,30,66.2127,66.2127,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c80,1.000,1.0,30,64.6288,64.6288,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c80,1.000,0.5,30,19.6631,19.6631,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c80,1.000,0.75,30,19.6631,19.6631,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c80,1.000,1.0,30,19.8025,19.8025,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c80,1.000,0.5,30,3.6924,3.6924,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c80,1.000,0.75,30,3.6924,3.6924,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c80,1.000,1.0,30,2.4147,2.4147,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c60,1.000,0.5,30,59.0185,59.0185,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c60,1.000,0.75,30,59.0185,59.0185,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p20_c60,1.000,1.0,30,64.6288,64.6288,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c60,1.000,0.5,30,19.8025,19.8025,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c60,1.000,0.75,30,19.8025,19.8025,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p50_c60,1.000,1.0,30,19.8025,19.8025,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c60,1.000,0.5,30,3.6924,3.6924,0.0000,0.0000,0,30,0
campus,10,pmmix,150,p80_c60,1.000,0.75,30,3.6924,3.6924,0.0000,0.0000,0,30,0
