source,campus,crew_m,beta,inst_id,window_bh,pooled_u,worst_u,twt_rule_atc,twt_oracle_atc,twt_rule_edd,twt_oracle_edd,feas_rule_atc,feas_oracle_atc,feas_rule_edd,feas_oracle_edd,incomplete_rule_atc
replay,12,1.0,0.5,c12_replay_400_0002,24.0,0.639760461469534,0.96674375,3235.9664000000002,3235.9664000000002,3235.9664000000002,3235.9664000000002,1,1,1,1,148
replay,12,1.0,1.0,c12_replay_400_0002,24.0,0.639760461469534,0.96674375,2926.1664,2926.1664,2926.1664,2926.1664,1,1,1,1,148
replay,12,1.0,0.5,c12_replay_400_0003,21.3489,0.6917046971320373,1.384268041913166,1202.6480000000001,1202.6480000000001,1202.6480000000001,1202.6480000000001,1,1,1,1,82
replay,12,1.0,1.0,c12_replay_400_0003,21.3489,0.6917046971320373,1.384268041913166,1418.1668000000002,1418.1848000000002,1418.1668000000002,1418.1848000000002,1,1,1,1,82
replay,12,1.0,0.5,c12_replay_400_0004,16.0,0.5445496303763441,1.03515625,343.9334,369.9334,343.9334,343.9334,1,1,1,1,76
replay,12,1.0,1.0,c12_replay_400_0004,16.0,0.5445496303763441,1.03515625,1090.9336,1108.9336,1098.9336,1104.9336,1,1,1,1,76
replay,12,1.0,0.5,c12_replay_400_0005,24.8472,0.616354946378502,1.1797546604848834,2642.896,2642.896,2642.896,2642.896,1,1,1,1,91
replay,12,1.0,1.0,c12_replay_400_0005,24.8472,0.616354946378502,1.1797546604848834,2525.7368,2525.7368,2525.7368,2525.7368,1,1,1,1,91
replay,12,1.0,0.5,c12_replay_400_0006,21.2286,0.573803407231409,1.221524264435714,2897.5664000000006,2897.5664000000006,2897.5664000000006,2897.5664000000006,1,1,1,1,74
replay,12,1.0,1.0,c12_replay_400_0006,21.2286,0.573803407231409,1.221524264435714,2065.8368,2065.8368,2065.8368,2065.8368,1,1,1,1,74
replay,12,1.0,0.5,c12_replay_400_0007,21.645,0.7218347628025047,1.1434062634062634,3331.7592,3331.7592,3331.7592,3331.7592,1,1,1,1,69
replay,12,1.0,1.0,c12_replay_400_0007,21.645,0.7218347628025047,1.1434062634062634,2211.8408,2211.8408,2211.8408,2211.8408,1,1,1,1,69
replay,12,1.0,0.5,c12_replay_400_0008,22.6644,0.5618555925801308,0.96419130404089,1255.8584,1255.8584,1255.8584,1255.8584,1,1,1,1,70
replay,12,1.0,1.0,c12_replay_400_0008,22.6644,0.5618555925801308,0.96419130404089,1123.3444,1103.3444,1115.3444,1103.3444,1,1,1,1,70
replay,12,1.0,0.5,c12_replay_400_0009,32.0242,0.44276146540522815,0.5889403896923641,1773.0591999999997,1773.0591999999997,1773.0591999999997,1773.0591999999997,1,1,1,1,88
replay,12,1.0,1.0,c12_replay_400_0009,32.0242,0.44276146540522815,0.5889403896923641,1063.3999999999999,1063.3999999999999,1063.3999999999999,1063.3999999999999,1,1,1,1,88
replay,12,1.0,0.5,c12_replay_400_0010,24.9056,0.6293893051992281,1.2773231722985996,1454.6592,1454.6592,1454.6592,1454.6592,1,1,1,1,92
replay,12,1.0,1.0,c12_replay_400_0010,24.9056,0.6293893051992281,1.2773231722985996,989.4592,989.4592,989.4592,989.4592,1,1,1,1,92
replay,12,1.0,0.5,c12_replay_400_0011,24.0,0.664114538530466,1.7947066666666667,2262.1888,2262.1888,2262.1888,2262.1888,1,1,1,1,100
replay,12,1.0,1.0,c12_replay_400_0011,24.0,0.664114538530466,1.7947066666666667,2018.8592,2018.8592,2018.8592,2018.8592,1,1,1,1,100
replay,12,1.0,0.5,c12_replay_400_0012,21.3369,0.6660993220034735,1.2255763489541591,1894.7888,1894.7888,1894.7888,1894.7888,1,1,1,1,84
replay,12,1.0,1.0,c12_replay_400_0012,21.3369,0.6660993220034735,1.2255763489541591,1257.5296,1257.5296,1257.5296,1257.5296,1,1,1,1,84
replay,12,1.0,0.5,c12_replay_400_0013,20.4692,0.8234857553620031,1.3269257075170349,1133.2592,1133.2592,1133.2592,1133.2592,1,1,1,1,91
replay,12,1.0,1.0,c12_replay_400_0013,20.4692,0.8234857553620031,1.3269257075170349,1188.0295999999998,1188.0295999999998,1188.0295999999998,1188.0295999999998,1,1,1,1,91
replay,12,1.0,0.5,c12_replay_400_0014,17.4958,0.5907920512290077,1.755778529704272,755.2087999999999,759.2087999999999,755.2087999999999,755.2087999999999,1,1,1,1,156
replay,12,1.0,1.0,c12_replay_400_0014,17.4958,0.5907920512290077,1.755778529704272,675.0044,679.0044,675.0044,675.0044,1,1,1,1,156
replay,12,1.0,0.5,c12_replay_400_0015,27.2961,0.5417923738997256,0.9241376550552587,952.1184,952.1184,952.1184,952.1184,1,1,1,1,80
replay,12,1.0,1.0,c12_replay_400_0015,27.2961,0.5417923738997256,0.9241376550552587,687.3184,687.3184,687.3184,687.3184,1,1,1,1,80
replay,12,1.0,0.5,c12_replay_400_0016,22.3058,0.5445299583106645,1.2078552563807519,297.4592,297.4592,297.4592,297.4592,1,1,1,1,65
replay,12,1.0,1.0,c12_replay_400_0016,22.3058,0.5445299583106645,1.2078552563807519,549.4592,549.4592,549.4592,549.4592,1,1,1,1,65
replay,12,1.0,0.5,c12_replay_400_0017,16.0,0.8027989247311829,1.5296195652173912,664.3296,664.3296,664.3296,664.3296,1,1,1,1,112
replay,12,1.0,1.0,c12_replay_400_0017,16.0,0.8027989247311829,1.5296195652173912,1090.6,1090.6,1090.6,1090.6,1,1,1,1,112
replay,12,1.0,0.5,c12_replay_400_0018,12.8089,0.855789199663507,1.5376488594797741,1195.3732,1180.3732,1126.9668,1120.3731999999998,1,1,1,1,136
replay,12,1.0,1.0,c12_replay_400_0018,12.8089,0.855789199663507,1.5376488594797741,493.10519999999997,493.10519999999997,468.80999999999995,473.2164,1,1,1,1,136
replay,12,1.0,0.5,c12_replay_400_0019,24.0,0.6374145161290321,1.0891572463768115,2859.5776,2859.5776,2859.5776,2859.5776,1,1,1,1,96
replay,12,1.0,1.0,c12_replay_400_0019,24.0,0.6374145161290321,1.0891572463768115,2523.9776,2523.9776,2523.9776,2523.9776,1,1,1,1,96
replay,12,1.0,0.5,c12_replay_400_0020,24.5572,0.5784145122495664,0.837644710946369,2652.4848,2644.4848,2652.4848,2644.4848,1,1,1,1,71
replay,12,1.0,1.0,c12_replay_400_0020,24.5572,0.5784145122495664,0.837644710946369,1627.8368,1627.8368,1627.8368,1627.8368,1,1,1,1,71
replay,12,1.0,0.5,c12_replay_400_0021,24.0,0.6157415546594982,1.5853933333333332,2003.5663999999997,2003.5663999999997,2003.5663999999997,2003.5663999999997,1,1,1,1,112
replay,12,1.0,1.0,c12_replay_400_0021,24.0,0.6157415546594982,1.5853933333333332,1426.5184,1426.5184,1426.5184,1426.5184,1,1,1,1,112
replay,12,1.0,0.5,c12_replay_400_0022,26.9928,0.6399969103668584,1.1807948786343025,2806.9776,2806.9776,2806.9776,2806.9776,1,1,1,1,95
replay,12,1.0,1.0,c12_replay_400_0022,26.9928,0.6399969103668584,1.1807948786343025,1832.1183999999998,1832.1183999999998,1832.1183999999998,1832.1183999999998,1,1,1,1,95
replay,12,1.0,0.5,c12_replay_400_0023,20.5228,0.6765337937287059,1.2912468084276998,1466.6592,1466.6592,1466.6592,1466.6592,1,1,1,1,74
replay,12,1.0,1.0,c12_replay_400_0023,20.5228,0.6765337937287059,1.2912468084276998,1393.7296000000001,1393.7296000000001,1393.7296000000001,1393.7296000000001,1,1,1,1,74
replay,12,1.0,0.5,c12_replay_400_0024,24.0,0.48503830645161294,0.7142045454545455,450.4592,450.4592,450.4592,450.4592,1,1,1,1,132
replay,12,1.0,1.0,c12_replay_400_0024,24.0,0.48503830645161294,0.7142045454545455,773.4592,773.4592,773.4592,773.4592,1,1,1,1,132
replay,12,1.0,0.5,c12_replay_400_0025,23.3019,0.5124483134353297,0.8448881850836198,932.4,932.4,932.4,932.4,1,1,1,1,62
replay,12,1.0,1.0,c12_replay_400_0025,23.3019,0.5124483134353297,0.8448881850836198,1054.1296,1054.1296,1054.1296,1054.1296,1,1,1,1,62
replay,12,1.0,0.5,c12_replay_400_0026,24.0,0.4533879928315412,0.7447916666666666,1629.7072,1629.7072,1629.7072,1629.7072,1,1,1,1,69
replay,12,1.0,1.0,c12_replay_400_0026,24.0,0.4533879928315412,0.7447916666666666,1614.9776000000002,1614.9776000000002,1614.9776000000002,1614.9776000000002,1,1,1,1,69
