campus,u,inst_id,n_wos,twt_atc,twt_edd,twt_wspt,twt_pfifo,twt_mor,twt_oracle,twt_ga,ga_gens,ga_wall,feas_oracle
9,100,c09_storm2_w80_u100_0006,2334,2850.9024000000004,3279.139199999999,2840.9361999999996,3279.139199999999,40855.32260000001,877.8604,,,,True
9,100,c09_storm2_w80_u100_0007,2270,2714.340400000001,3275.437200000001,2863.7848000000004,3275.437200000001,34694.3172,2004.172,,,,True
9,100,c09_storm2_w80_u100_0008,2271,4952.446800000002,4730.1972000000005,7193.703999999998,4730.1972000000005,28246.187199999997,2368.1128,,,,True
9,100,c09_storm2_w80_u100_0009,2328,4627.7312,4455.044399999999,5175.1028,4455.044399999999,22422.834800000004,2406.775200000001,,,,True
9,100,c09_storm2_w80_u100_0010,2284,4690.921199999997,4281.5388,5579.358000000001,4281.5388,31841.276200000015,1326.7984,,,,True
9,100,c09_storm2_w80_u100_0011,2317,3840.259600000005,4184.467200000004,2406.5954000000006,4184.467200000004,30898.04280000001,1358.6252000000004,,,,True
10,90,c10_storm2_w80_u90_0000,8455,2470.540000000001,2182.8364,4876.451800000003,2182.8364,65719.91040000001,1682.9904000000006,,,,True
10,90,c10_storm2_w80_u90_0001,8541,1532.6160000000002,1562.8195999999998,3898.0052000000005,1562.8195999999998,54828.52899999995,1501.8483999999996,,,,True
10,90,c10_storm2_w80_u90_0002,8560,2781.684,2657.5928,5952.8782,2657.5928,80310.82099999995,2002.5603999999994,,,,True
10,90,c10_storm2_w80_u90_0003,8491,4719.555200000001,5090.366399999998,6479.1957999999995,5090.366399999998,68735.83860000005,4153.558000000001,,,,True
10,90,c10_storm2_w80_u90_0004,8425,3724.188399999999,3831.865600000001,3216.7307999999994,3831.865600000001,71352.0002,2422.5039999999995,,,,True
10,90,c10_storm2_w80_u90_0005,8490,2076.6616,2069.976399999999,3173.5055999999995,2069.976399999999,71826.30020000001,1695.6391999999994,,,,True
10,90,c10_storm2_w80_u90_0006,8376,2681.0407999999998,2680.8472000000006,3511.2694,2680.8472000000006,102180.5423999999,2586.0204,,,,True
10,90,c10_storm2_w80_u90_0007,8532,3674.4171999999976,3351.443200000001,3376.7071999999994,3351.443200000001,126991.0005999999,1557.3471999999992,,,,True
10,90,c10_storm2_w80_u90_0008,8435,4166.610000000002,5003.0172,4798.2609999999995,5003.0172,125743.55339999984,2563.659200000001,,,,True
10,90,c10_storm2_w80_u90_0009,8402,2109.8523999999998,2123.3508,3040.0845999999983,2123.3508,91410.56259999987,1982.3084,,,,True
10,90,c10_storm2_w80_u90_0010,8563,4927.2272,4902.2087999999985,5602.032000000001,4902.2087999999985,77805.90280000004,3611.0892000000003,,,,True
10,90,c10_storm2_w80_u90_0011,8421,3250.2164,3275.6703999999986,3820.8556,3275.6703999999986,66962.26239999996,2758.258,,,,True
10,100,c10_storm2_w80_u100_0000,9350,7242.495600000002,9266.553200000011,7282.632000000001,9266.553200000011,163102.06099999987,2988.7824,9266.553200000011,4,61.157278172671795,True
10,100,c10_storm2_w80_u100_0001,9160,4042.2128000000016,3934.488000000003,7100.030999999998,3934.488000000003,121557.90379999996,2513.0288000000005,4042.2128000000016,5,68.01209939923137,True
10,100,c10_storm2_w80_u100_0002,9240,5845.472799999999,8146.432399999997,3622.9449999999997,8146.432399999997,136762.23799999992,2471.3755999999994,5845.472799999999,5,66.88435623329133,True
10,100,c10_storm2_w80_u100_0003,9346,11798.426799999997,13080.306400000009,12149.721800000003,13080.306400000009,171225.78939999986,4426.884799999999,13087.799199999989,5,69.49659251701087,True
10,100,c10_storm2_w80_u100_0004,9423,5895.359199999994,8971.749200000002,4114.130399999999,8971.749200000002,166711.40819999986,1422.6964000000003,8971.749200000002,5,70.64513036236167,True
10,100,c10_storm2_w80_u100_0005,9509,11099.037200000004,14376.187999999993,7658.565599999999,14376.187999999993,206075.18859999973,2310.1676,11099.037200000004,4,62.755951221100986,True
10,100,c10_storm2_w80_u100_0006,9365,6843.785199999995,9914.2308,6939.4906,9914.2308,155095.48840000006,2691.4299999999994,,,,True
10,100,c10_storm2_w80_u100_0007,9508,10041.708,12356.343599999993,8563.4796,12356.343599999993,217588.00020000007,3200.1748000000007,,,,True
10,100,c10_storm2_w80_u100_0008,9282,8436.953599999995,10656.894399999996,7417.4424,10656.894399999996,166867.21540000013,2691.4339999999997,,,,True
10,100,c10_storm2_w80_u100_0009,9287,8620.767599999994,10519.42359999999,10854.278599999998,10519.42359999999,145530.79699999993,3639.3419999999996,,,,True
