part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1040.036400,957.133200,931.369600,1012.924000,957.133200,0.2514,0.0519,0.2509,0.0000
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,462.854400,466.118400,463.065600,462.854400,466.118400,0.2492,0.0000,0.2468,0.0128
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1319.662000,1307.720400,1280.688000,1330.880800,1309.175200,0.2507,0.0476,0.2510,0.0105
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,1119.015200,1127.520000,1122.718400,1119.015200,1127.520000,0.2500,0.0000,0.2485,0.0000
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,908.775200,908.334400,902.964400,908.775200,908.334400,0.2515,0.0000,0.2514,0.0000
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,910.877200,910.877200,911.566800,910.877200,910.877200,0.2527,0.0000,0.2509,0.0000
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,1086.670400,1122.308800,1125.056800,1086.921600,1121.122400,0.2506,0.0090,0.2517,0.0088
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,1064.612000,1064.612000,1064.612000,1064.612000,1064.612000,0.2525,0.0000,0.2525,0.0000
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,777.633200,770.267600,740.985200,761.704000,770.267600,0.2500,0.0065,0.2504,0.0065
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,1104.446000,1104.547600,1102.753200,1104.446000,1104.547600,0.2500,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1060.126400,1080.488000,1040.672800,1065.773600,1072.986400,0.2505,0.0444,0.2513,0.0211
B,e3,9,storm2,70,,0.5,0.25,303,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,462.259200,467.478000,460.113200,462.259200,467.478000,0.2525,0.0000,0.2516,0.0000
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1336.268000,1311.048000,1304.768000,1336.806400,1310.442400,0.2470,0.0054,0.2460,0.0108
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,950.195600,950.195600,950.195600,950.195600,950.195600,0.2500,0.0000,0.2455,0.0000
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,445.652800,445.652800,451.593600,445.652800,445.652800,0.2507,0.0118,0.2426,0.0122
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,585.544400,589.350800,589.739600,585.544400,589.350800,0.2527,0.0000,0.2527,0.0000
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,875.506400,907.303200,907.303200,875.506400,907.303200,0.2460,0.0000,0.2494,0.0000
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,1127.043600,1127.043600,1127.043600,1127.043600,1127.043600,0.2492,0.0000,0.2458,0.0135
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,840.394800,877.377600,822.995200,821.694000,858.272000,0.2484,0.0258,0.2465,0.0189
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,865.187600,863.855600,865.022000,865.187600,863.855600,0.2500,0.0000,0.2510,0.0000
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1067.024000,1078.501200,1004.520400,1010.104400,1018.921200,0.2514,0.0216,0.2500,0.0213
B,e3,9,storm2,70,,0.0,0.25,303,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,537.514400,525.130000,521.266000,523.526800,520.556400,0.2393,0.0137,0.2410,0.0135
B,e3,9,storm2,70,,0.5,0.25,301,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1319.662000,1328.983200,1280.688000,1330.880800,1315.644000,0.2507,0.0476,0.2503,0.0316
