part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0024,400,,,0,610.459200,610.459200,610.459200,610.459200,610.459200,0.2492,0.0000,0.2492,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0025,400,,,0,18.000000,18.000000,18.000000,18.000000,18.000000,0.2474,0.0104,0.2474,0.0104
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0026,400,,,0,350.000000,350.000000,350.000000,350.000000,350.000000,0.2492,0.0133,0.2525,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0027,400,,,0,121.000000,121.000000,121.000000,121.000000,121.000000,0.2391,0.0000,0.2391,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0028,400,,,0,210.000000,210.000000,210.000000,210.000000,210.000000,0.2479,0.0000,0.2521,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0029,400,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2520,0.0000,0.2500,0.0000
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0020,2693,1.0074178084677419,1.3065104228347137,0,9770.541200,9459.890600,9460.732000,9466.723200,9447.567200,0.2439,0.0411,0.2454,0.0102
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0021,2693,1.0074178084677419,1.3065104228347137,0,15184.168400,14936.466600,14789.644400,15003.710000,14803.216800,0.2497,0.0699,0.2503,0.0549
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0022,2693,1.0074178084677419,1.3065104228347137,0,14141.982000,14101.599200,14370.995800,14021.127600,14112.845800,0.2464,0.0532,0.2462,0.0363
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0023,2693,1.0074178084677419,1.3065104228347137,0,12024.478000,11817.643600,11958.480000,11913.301600,11810.453200,0.2480,0.0720,0.2495,0.0425
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0024,2693,1.0074178084677419,1.3065104228347137,0,13892.864400,13895.216800,13971.067200,13887.048800,13890.764400,0.2493,0.0354,0.2494,0.0177
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0025,2693,1.0074178084677419,1.3065104228347137,0,13380.141800,13232.751200,13162.478600,13334.258800,13183.596000,0.2500,0.0669,0.2496,0.0603
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0026,2693,1.0074178084677419,1.3065104228347137,0,12721.530000,12723.487200,12719.353800,12626.382400,12605.172800,0.2487,0.0676,0.2493,0.0674
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0027,2693,1.0074178084677419,1.3065104228347137,0,13586.274200,13683.133400,13840.699600,13524.348200,13681.560200,0.2469,0.0563,0.2456,0.0391
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0028,2693,1.0074178084677419,1.3065104228347137,0,12891.497600,12992.452600,12811.450800,12881.528200,12994.805200,0.2484,0.0259,0.2480,0.0388
C,boundary_noleverage,12,storm2,100,,1.0,0.25,302,c12_storm2_w80_u100_0029,2693,1.0074178084677419,1.3065104228347137,0,10864.221800,10894.622600,11185.982200,10850.865400,10881.718400,0.2479,0.0405,0.2480,0.0260
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0020,400,,,0,286.000000,286.000000,286.000000,286.000000,286.000000,0.2434,0.0000,0.2434,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0021,400,,,0,102.624000,102.624000,102.624000,102.624000,102.624000,0.2428,0.0169,0.2428,0.0169
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0022,400,,,0,250.000000,250.000000,250.000000,250.000000,250.000000,0.2405,0.0000,0.2405,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0023,400,,,0,794.918400,794.918400,794.918400,794.918400,794.918400,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0024,400,,,0,610.459200,610.459200,610.459200,610.459200,610.459200,0.2492,0.0000,0.2492,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0025,400,,,0,18.000000,18.000000,18.000000,18.000000,18.000000,0.2474,0.0104,0.2474,0.0104
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0026,400,,,0,350.000000,350.000000,350.000000,350.000000,350.000000,0.2492,0.0133,0.2492,0.0133
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0027,400,,,0,121.000000,121.000000,121.000000,121.000000,121.000000,0.2391,0.0000,0.2391,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0028,400,,,0,210.000000,210.000000,210.000000,210.000000,210.000000,0.2479,0.0000,0.2479,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,301,c10_replay_400_0029,400,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2520,0.0000,0.2520,0.0000
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0020,2693,1.0074178084677419,1.3065104228347137,0,9770.541200,9424.509600,9460.732000,9466.723200,9328.997600,0.2439,0.0411,0.2458,0.0204
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0021,2693,1.0074178084677419,1.3065104228347137,0,15184.168400,14876.368400,14789.644400,15003.710000,14780.573200,0.2497,0.0699,0.2489,0.0576
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0022,2693,1.0074178084677419,1.3065104228347137,0,14141.982000,14114.509400,14370.995800,14021.127600,14075.243800,0.2464,0.0532,0.2469,0.0390
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0023,2693,1.0074178084677419,1.3065104228347137,0,12024.478000,11819.804400,11958.480000,11913.301600,11781.481600,0.2480,0.0720,0.2489,0.0397
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0024,2693,1.0074178084677419,1.3065104228347137,0,13892.864400,13845.864400,13971.067200,13887.048800,13860.084400,0.2493,0.0354,0.2496,0.0266
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0025,2693,1.0074178084677419,1.3065104228347137,0,13380.141800,13222.685400,13162.478600,13334.258800,13109.861800,0.2500,0.0669,0.2498,0.0696
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0026,2693,1.0074178084677419,1.3065104228347137,0,12721.530000,12677.465400,12719.353800,12626.382400,12568.213800,0.2487,0.0676,0.2493,0.0376
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0027,2693,1.0074178084677419,1.3065104228347137,0,13586.274200,13686.206400,13840.699600,13524.348200,13725.622400,0.2469,0.0563,0.2472,0.0689
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0028,2693,1.0074178084677419,1.3065104228347137,0,12891.497600,12913.223000,12811.450800,12881.528200,12884.026200,0.2484,0.0259,0.2480,0.0292
C,boundary_noleverage,12,storm2,100,,1.0,0.25,301,c12_storm2_w80_u100_0029,2693,1.0074178084677419,1.3065104228347137,0,10864.221800,10849.074600,11185.982200,10850.865400,10794.806000,0.2479,0.0405,0.2460,0.0263
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0020,2693,1.0074178084677419,1.3065104228347137,0,9770.541200,9419.034800,9460.732000,9466.723200,9387.902800,0.2439,0.0411,0.2473,0.0068
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0021,2693,1.0074178084677419,1.3065104228347137,0,15184.168400,14865.594800,14789.644400,15003.710000,14753.852200,0.2497,0.0699,0.2480,0.0508
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0022,2693,1.0074178084677419,1.3065104228347137,0,14141.982000,14092.376800,14370.995800,14021.127600,14101.489400,0.2464,0.0532,0.2483,0.0332
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0023,2693,1.0074178084677419,1.3065104228347137,0,12024.478000,11843.702400,11958.480000,11913.301600,11840.750400,0.2480,0.0720,0.2500,0.0367
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0024,2693,1.0074178084677419,1.3065104228347137,0,13892.864400,13850.130800,13971.067200,13887.048800,13886.482400,0.2493,0.0354,0.2498,0.0206
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0025,2693,1.0074178084677419,1.3065104228347137,0,13380.141800,13165.522000,13162.478600,13334.258800,13106.842000,0.2500,0.0669,0.2494,0.0476
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0026,2693,1.0074178084677419,1.3065104228347137,0,12721.530000,12661.802000,12719.353800,12626.382400,12568.018400,0.2487,0.0676,0.2488,0.0649
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0027,2693,1.0074178084677419,1.3065104228347137,0,13586.274200,13666.744800,13840.699600,13524.348200,13663.582400,0.2469,0.0563,0.2458,0.0523
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0028,2693,1.0074178084677419,1.3065104228347137,0,12891.497600,13003.109600,12811.450800,12881.528200,12864.997000,0.2484,0.0259,0.2458,0.0291
C,boundary_noleverage,12,storm2,100,,1.0,0.25,303,c12_storm2_w80_u100_0029,2693,1.0074178084677419,1.3065104228347137,0,10864.221800,10829.523000,11185.982200,10850.865400,10876.810800,0.2479,0.0405,0.2471,0.0203
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0020,400,,,0,286.000000,286.000000,286.000000,286.000000,286.000000,0.2434,0.0000,0.2434,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0021,400,,,0,102.624000,102.624000,102.624000,102.624000,102.624000,0.2428,0.0169,0.2428,0.0169
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0022,400,,,0,250.000000,250.000000,250.000000,250.000000,250.000000,0.2405,0.0000,0.2405,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0023,400,,,0,794.918400,794.918400,794.918400,794.918400,794.918400,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0024,400,,,0,610.459200,610.459200,610.459200,610.459200,610.459200,0.2492,0.0000,0.2492,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0025,400,,,0,18.000000,18.000000,18.000000,18.000000,18.000000,0.2474,0.0104,0.2474,0.0104
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0026,400,,,0,350.000000,350.000000,350.000000,350.000000,350.000000,0.2492,0.0133,0.2492,0.0133
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0027,400,,,0,121.000000,121.000000,121.000000,121.000000,121.000000,0.2391,0.0000,0.2391,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0028,400,,,0,210.000000,210.000000,210.000000,210.000000,210.000000,0.2479,0.0000,0.2479,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,303,c10_replay_400_0029,400,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2520,0.0000,0.2520,0.0000
C,boundary_noleverage,5,storm2,100,,1.0,0.25,302,c05_storm2_w80_u100_0020,3386,1.0023865517241377,1.701384479166667,0,18301.766800,3359.248200,1940.314800,10167.795200,2877.328800,0.2499,0.1449,0.2414,0.0119
C,boundary_noleverage,5,storm2,100,,1.0,0.25,302,c05_storm2_w80_u100_0021,3386,1.0023865517241377,1.701384479166667,0,11774.936800,3501.190200,2136.717800,7436.642400,3126.286000,0.2500,0.1779,0.2452,0.0426
C,boundary_noleverage,5,storm2,100,,1.0,0.25,302,c05_storm2_w80_u100_0022,3386,1.0023865517241377,1.701384479166667,0,17550.393200,3422.501000,2452.801200,9645.080600,3018.974000,0.2491,0.2131,0.2446,0.0377
C,boundary_noleverage,5,storm2,100,,1.0,0.25,302,c05_storm2_w80_u100_0023,3386,1.0023865517241377,1.701384479166667,0,15525.027200,2200.013000,1667.725800,11425.426400,1980.817000,0.2501,0.1724,0.2453,0.0145
C,boundary_noleverage,5,storm2,100,,1.0,0.25,302,c05_storm2_w80_u100_0024,3386,1.0023865517241377,1.701384479166667,0,7681.381200,2970.021200,1806.350000,6296.976800,2744.848800,0.2504,0.0888,0.2480,0.0276
