t_bh,wo,n_cand,recorded_class,s_hat,s_lo,s_hi,c_hat,c_hat_lo,c_hat_hi,interval_width,margin,rival,verdict,c_star_eval_only
53.57040000000001,W1215,43,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-4.1380684713930634e-11,W1328,refer,4
53.5995,W1465,36,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,4.141433570129011e-06,W969,automate,4
53.6166,W1328,42,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-4.441316406324083e-11,W1349,refer,4
53.670100000000005,W1349,41,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-6.406109965670174e-11,W1411,refer,4
53.772,W954,37,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-3.7884802226576305e-05,W969,refer,3
53.8453,W1411,44,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-4.441089609457947e-11,W1383,refer,4
53.91629999999999,W969,37,4,0.01298812497407198,-0.2772556794807315,0.30323192942887545,3.987011875025928,3.6967680705711246,4.0,0.30323192942887545,-3.0669452698761975e-05,W968,refer,3
53.9471,W1425,45,3,0.2788804769515991,-0.011363327503204346,0.5691242814064026,2.721119523048401,2.4308757185935974,3.0113633275032043,0.5804876089096069,3.982372425016089e-07,W1273,automate,1
54.0331,W968,36,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-2.401395531412408e-05,W1046,refer,3
54.267199999999995,W1423,4,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.0774991479556806e-16,W1483,refer,4
54.419200000000004,W1496,49,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.0058151350628961465,W1383,automate,3
54.4343,W1497,36,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.8254060436766274e-05,W1046,refer,4
54.476,W1012,35,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-2.2918855545859733e-05,W1046,refer,3
54.4946,W1383,49,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-4.338607790407799e-11,W1236,refer,4
54.497399999999985,W1405,48,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-6.17040134767243e-11,W1236,refer,4
