scope,campus,cell,sigma_s,beta,wtag,n,mean_rule,mean_oracle,abs_gap,pct_gap,wins,ties,losses
campus,12,storm150_a200_c80,1.0,0.75,w8421,30,611.0217,611.0217,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,0.75,w16421,30,1047.1636,1047.1636,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,0.75,w27931,30,1844.6997,1844.6997,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,1.0,w8421,30,564.6573,564.6573,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,1.0,w16421,30,900.1882,900.1882,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,1.0,w27931,30,1628.3700,1628.3700,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,0.5,w8421,30,565.2909,565.2909,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,0.5,w16421,30,968.1135,968.1135,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,0.5,w27931,30,1684.1359,1684.1359,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,0.75,w8421,30,546.0841,546.0841,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,0.75,w16421,30,938.5094,938.5094,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,0.75,w27931,30,1621.1756,1621.1756,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,1.0,w8421,30,486.7619,486.7619,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,1.0,w16421,30,822.9482,822.9482,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,2.0,1.0,w27931,30,1404.8527,1404.8527,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,0.5,w8421,30,435.5198,435.5198,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,0.5,w16421,30,756.1254,756.1254,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,0.5,w27931,30,1329.8834,1329.8834,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,0.75,w8421,30,406.6482,406.6482,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,0.75,w16421,30,680.0328,680.0328,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,0.75,w27931,30,1207.8529,1207.8529,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,1.0,w8421,30,351.5029,351.5029,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,1.0,w16421,30,525.1645,525.1645,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,1.0,1.0,w27931,30,969.8536,969.8536,0.0000,0.0000,0,30,0
campus,12,pmmix150_p20_c60,2.0,0.5,w8421,30,348.3789,348.3789,0.0000,0.0000,0,30,0
