scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses,util_pooled,util_worst,incomplete_at_horizon,mean_nlate_rule
campus,10,pmmix_p80_c60,atc,1.0,30,41.5367,41.5367,0.0000,0.0000,0,30,0,0.0948,0.1739,10.37,0.77
campus,10,pmmix_p80_c100,atc,1.0,30,41.5367,41.5367,0.0000,0.0000,0,30,0,0.0560,0.1036,10.37,0.77
campus,10,gen400_default,atc,1.0,40,69.7856,69.7856,0.0000,0.0000,0,40,0,0.0544,0.1113,8.62,0.97
campus,10,pmmix_c60_poolpm,atc,1.0,90,188.8377,188.8377,0.0000,0.0000,0,90,0,0.0939,0.1831,10.24,2.12
campus,10,pmmix_c100_poolpm,atc,1.0,90,188.8377,188.8377,0.0000,0.0000,0,90,0,0.0555,0.1083,10.24,2.12
pooled_loaded,9+12,pmmix_p20_c60,atc,1.0,60,1048.2710,1047.4761,0.7949,0.0758,9,46,5,0.5249,0.9373,48.85,16.97
pooled_loaded,9+12,pmmix_p20_c100,atc,1.0,60,1040.1273,1040.1273,0.0000,0.0000,0,60,0,0.3166,0.5636,47.08,16.78
pooled_loaded,9+12,pmmix_p50_c60,atc,1.0,60,597.5398,597.0261,0.5137,0.0860,4,54,2,0.5300,0.9045,49.70,10.32
pooled_loaded,9+12,pmmix_p50_c100,atc,1.0,60,595.4417,595.4417,0.0000,0.0000,0,60,0,0.3197,0.5475,48.12,10.23
pooled_loaded,9+12,pmmix_p80_c60,atc,1.0,60,317.5934,317.6466,-0.0532,-0.0167,0,58,2,0.5360,0.9131,49.92,5.22
pooled_loaded,9+12,pmmix_p80_c100,atc,1.0,60,316.1826,316.1826,0.0000,0.0000,0,60,0,0.3233,0.5436,48.78,5.22
pooled_loaded,9+12,gen400_default,atc,1.0,80,714.2440,714.2440,0.0000,0.0000,0,80,0,0.3207,0.5697,46.06,11.59
pooled_loaded,9+12,pmmix_c60_poolpm,atc,1.0,180,654.4681,654.0496,0.4185,0.0639,13,158,9,0.5303,0.9183,49.49,10.83
pooled_loaded,9+12,pmmix_c100_poolpm,atc,1.0,180,650.5839,650.5839,0.0000,0.0000,0,180,0,0.3198,0.5515,47.99,10.74
pooled_all,5+9+10+12,pmmix_c60_poolpm,atc,1.0,360,417.1766,412.8269,4.3497,1.0427,26,325,9,0.3956,0.7193,35.99,6.96
pooled_all,5+9+10+12,pmmix_c100_poolpm,atc,1.0,360,395.9644,395.9644,0.0000,0.0000,0,360,0,0.2374,0.4208,34.35,6.58
campus,9,pmmix_p20_c60,edd,0.25,30,809.1521,808.3351,0.8170,0.1010,1,29,0,0.2717,0.4528,17.50,-1.00
campus,9,pmmix_p20_c100,edd,0.25,30,790.4089,790.4089,0.0000,0.0000,0,30,0,0.1647,0.2732,17.37,-1.00
campus,9,pmmix_p50_c60,edd,0.25,30,415.9730,415.9730,0.0000,0.0000,0,30,0,0.2711,0.4269,18.87,-1.00
campus,9,pmmix_p50_c100,edd,0.25,30,418.6225,418.6225,0.0000,0.0000,0,30,0,0.1643,0.2651,18.83,-1.00
campus,9,pmmix_p80_c60,edd,0.25,30,235.4496,235.5967,-0.1471,-0.0625,0,29,1,0.2777,0.4515,19.50,-1.00
campus,9,pmmix_p80_c100,edd,0.25,30,238.4948,238.4948,0.0000,0.0000,0,30,0,0.1683,0.2671,19.33,-1.00
campus,9,gen400_default,edd,0.25,40,199.7157,199.7157,0.0000,0.0000,0,40,0,0.1658,0.2803,16.70,-1.00
campus,9,pmmix_c60_poolpm,edd,0.25,90,486.8582,486.6349,0.2233,0.0459,1,88,1,0.2735,0.4437,18.62,-1.00
campus,9,pmmix_c100_poolpm,edd,0.25,90,482.5087,482.5087,0.0000,0.0000,0,90,0,0.1658,0.2685,18.51,-1.00
campus,12,pmmix_p20_c60,edd,0.25,30,1386.0299,1381.2088,4.8211,0.3478,8,20,2,0.7781,1.4217,80.20,-1.00
campus,12,pmmix_p20_c100,edd,0.25,30,1463.3219,1463.3219,0.0000,0.0000,0,30,0,0.4685,0.8539,76.80,-1.00
campus,12,pmmix_p50_c60,edd,0.25,30,920.7601,920.3061,0.4540,0.0493,3,27,0,0.7888,1.3821,80.53,-1.00
campus,12,pmmix_p50_c100,edd,0.25,30,875.0521,875.0521,0.0000,0.0000,0,30,0,0.4750,0.8298,77.40,-1.00
campus,12,pmmix_p80_c60,edd,0.25,30,478.8025,478.0051,0.7975,0.1666,4,26,0,0.7943,1.3747,80.33,-1.00
campus,12,pmmix_p80_c100,edd,0.25,30,497.6517,497.6517,0.0000,0.0000,0,30,0,0.4783,0.8201,78.23,-1.00
campus,12,gen400_default,edd,0.25,40,1490.3953,1490.3953,0.0000,0.0000,0,40,0,0.4756,0.8591,75.42,-1.00
campus,12,pmmix_c60_poolpm,edd,0.25,90,928.5308,926.5066,2.0242,0.2180,15,73,2,0.7871,1.3928,80.36,-1.00
campus,12,pmmix_c100_poolpm,edd,0.25,90,945.3419,945.3419,0.0000,0.0000,0,90,0,0.4739,0.8346,77.48,-1.00
campus,5,pmmix_p20_c60,edd,0.25,30,221.7482,179.7634,41.9848,18.9336,8,21,1,0.4238,0.9322,35.60,-1.00
campus,5,pmmix_p20_c100,edd,0.25,30,108.2489,108.0973,0.1516,0.1401,1,29,0,0.2521,0.4989,31.00,-1.00
campus,5,pmmix_p50_c60,edd,0.25,30,72.7447,69.0236,3.7211,5.1153,5,25,0,0.4254,0.8364,34.17,-1.00
campus,5,pmmix_p50_c100,edd,0.25,30,49.3886,49.3886,0.0000,0.0000,0,30,0,0.2531,0.4550,30.97,-1.00
campus,5,pmmix_p80_c60,edd,0.25,30,47.7913,44.5245,3.2668,6.8356,2,28,0,0.4343,0.8035,34.47,-1.00
campus,5,pmmix_p80_c100,edd,0.25,30,38.5726,38.5726,0.0000,0.0000,0,30,0,0.2583,0.4617,31.57,-1.00
campus,5,gen400_default,edd,0.25,40,68.7755,68.7755,0.0000,0.0000,0,40,0,0.2540,0.5333,31.10,-1.00
campus,5,pmmix_c60_poolpm,edd,0.25,90,114.0948,97.7705,16.3243,14.3076,15,74,1,0.4278,0.8574,34.74,-1.00
campus,5,pmmix_c100_poolpm,edd,0.25,90,65.4034,65.3528,0.0505,0.0773,1,89,0,0.2545,0.4718,31.18,-1.00
campus,10,pmmix_p20_c60,edd,0.25,30,279.9231,279.9231,0.0000,0.0000,0,30,0,0.0941,0.1768,9.90,-1.00
campus,10,pmmix_p20_c100,edd,0.25,30,294.0526,294.0526,0.0000,0.0000,0,30,0,0.0556,0.1062,9.90,-1.00
campus,10,pmmix_p50_c60,edd,0.25,30,160.0229,160.0229,0.0000,0.0000,0,30,0,0.0928,0.1988,10.47,-1.00
campus,10,pmmix_p50_c100,edd,0.25,30,119.2994,119.2994,0.0000,0.0000,0,30,0,0.0549,0.1152,10.47,-1.00
campus,10,pmmix_p80_c60,edd,0.25,30,41.3960,41.3960,0.0000,0.0000,0,30,0,0.0948,0.1739,10.37,-1.00
campus,10,pmmix_p80_c100,edd,0.25,30,49.1777,49.1777,0.0000,0.0000,0,30,0,0.0560,0.1036,10.37,-1.00
campus,10,gen400_default,edd,0.25,40,49.3449,49.3449,0.0000,0.0000,0,40,0,0.0544,0.1113,8.62,-1.00
campus,10,pmmix_c60_poolpm,edd,0.25,90,160.4474,160.4474,0.0000,0.0000,0,90,0,0.0939,0.1831,10.24,-1.00
campus,10,pmmix_c100_poolpm,edd,0.25,90,154.1766,154.1766,0.0000,0.0000,0,90,0,0.0555,0.1083,10.24,-1.00
