campus,track,cell,rule,beta,inst_id,n_wo,n_crew,window_bh,util_pooled,util_worst,worst_trade,incomplete_at_horizon,makespan,twt_rule,twt_oracle,nlate_rule,nlate_oracle
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0009,400,60,85.4495,0.2805,0.5352,B30,27,109.1172,883.6400,883.6400,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0009,400,60,85.4495,0.2805,0.5352,B30,27,109.1172,1140.3624,1140.3624,14,14
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0009,400,60,85.4495,0.2805,0.5352,B30,27,109.1172,1140.3624,1140.3624,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0010,400,60,84.7831,0.2841,0.7322,E20,13,100.0015,1094.0920,1094.0920,14,14
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0010,400,60,84.7831,0.2841,0.7322,E20,13,100.0015,1094.0920,1094.0920,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0010,400,60,84.7831,0.2841,0.7322,E20,13,100.0015,867.9372,867.9372,12,12
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0010,400,60,84.7831,0.2841,0.7322,E20,13,100.0015,867.9372,867.9372,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0010,400,60,84.7831,0.2841,0.7322,E20,13,100.0015,881.6936,881.6936,18,18
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0010,400,60,84.7831,0.2841,0.7322,E20,13,100.0015,881.6936,881.6936,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0011,400,60,82.2153,0.2599,0.3797,D30,15,111.5687,451.5944,450.4496,16,15
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0011,400,60,82.2153,0.2599,0.3797,D30,15,111.5687,450.4496,450.4496,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0011,400,60,82.2153,0.2599,0.3797,D30,15,111.5687,573.7440,572.5992,18,17
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0011,400,60,82.2153,0.2599,0.3797,D30,15,111.5687,572.5992,572.5992,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0011,400,60,82.2153,0.2599,0.3797,D30,15,111.5687,673.1616,672.0168,18,17
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0011,400,60,82.2153,0.2599,0.3797,D30,15,111.5687,672.0168,672.0168,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0012,400,60,85.7830,0.2641,0.3457,D20,18,101.2191,734.0928,734.0928,16,16
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0012,400,60,85.7830,0.2641,0.3457,D20,18,101.2191,734.0928,734.0928,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0012,400,60,85.7830,0.2641,0.3457,D20,18,101.2191,626.1176,626.1176,15,15
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0012,400,60,85.7830,0.2641,0.3457,D20,18,101.2191,626.1176,626.1176,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0012,400,60,85.7830,0.2641,0.3457,D20,18,101.2191,606.3976,606.3976,20,20
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0012,400,60,85.7830,0.2641,0.3457,D20,18,101.2191,606.3976,606.3976,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0013,400,60,87.4961,0.2730,0.3917,D50,17,114.6882,717.0616,717.0616,18,18
