campus,size,arrival,rule,beta,inst_id,twt_rule,twt_oracle,twt_rule_wonly,twt_oracle_wonly,n_shift,feasible,util_pooled,util_worst,worst_trade,window_bh,makespan,incomplete_at_window,n_wos
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0018,108.5456,108.5456,,,79,1,0.2170,0.4217,C10,26.295,46.662,17,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0019,36.9112,36.9112,6.7312,6.7312,93,1,0.2462,0.4142,D50,25.812,36.410,16,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0019,36.9112,36.9112,,,93,1,0.2462,0.4142,D50,25.812,36.410,16,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0019,6.7312,6.7312,6.7312,6.7312,92,1,0.2462,0.4142,D50,25.812,36.410,16,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0019,6.7312,6.7312,,,92,1,0.2462,0.4142,D50,25.812,36.410,16,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0019,6.7312,6.7312,6.7312,6.7312,77,1,0.2462,0.4142,D50,25.812,36.410,16,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0019,6.7312,6.7312,,,77,1,0.2462,0.4142,D50,25.812,36.410,16,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0020,0.0000,0.0000,0.0000,0.0000,96,1,0.2593,0.8697,B20,26.430,72.909,18,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0020,0.0000,0.0000,,,96,1,0.2593,0.8697,B20,26.430,72.909,18,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0020,0.0000,0.0000,0.0000,0.0000,98,1,0.2593,0.8697,B20,26.430,72.909,18,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0020,0.0000,0.0000,,,98,1,0.2593,0.8697,B20,26.430,72.909,18,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0020,0.0000,0.0000,0.0000,0.0000,74,1,0.2593,0.8697,B20,26.430,72.909,18,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0020,0.0000,0.0000,,,74,1,0.2593,0.8697,B20,26.430,72.909,18,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0021,51.1052,51.1052,33.3980,33.3980,97,1,0.2654,0.4613,MISC,27.903,62.322,20,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0021,51.1052,51.1052,,,97,1,0.2654,0.4613,MISC,27.903,62.322,20,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0021,42.8008,42.8008,29.2458,29.2458,103,1,0.2654,0.4613,MISC,27.903,62.322,20,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0021,42.8008,42.8008,,,103,1,0.2654,0.4613,MISC,27.903,62.322,20,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0021,42.8008,42.8008,29.2458,29.2458,77,1,0.2654,0.4613,MISC,27.903,62.322,20,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0021,42.8008,42.8008,,,77,1,0.2654,0.4613,MISC,27.903,62.322,20,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0022,4.3032,4.3032,0.0000,0.0000,91,1,0.3196,0.5153,D30,22.329,61.014,32,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0022,4.3032,4.3032,,,91,1,0.3196,0.5153,D30,22.329,61.014,32,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0022,4.3032,4.3032,0.0000,0.0000,87,1,0.3196,0.5153,D30,22.329,61.014,32,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0022,4.3032,4.3032,,,87,1,0.3196,0.5153,D30,22.329,61.014,32,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0022,0.0000,0.0000,0.0000,0.0000,71,1,0.3196,0.5153,D30,22.329,61.014,32,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0022,0.0000,0.0000,,,71,1,0.3196,0.5153,D30,22.329,61.014,32,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0023,0.0000,0.0000,0.0000,0.0000,91,1,0.2242,0.4551,D90,28.655,67.802,21,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0023,0.0000,0.0000,,,91,1,0.2242,0.4551,D90,28.655,67.802,21,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0023,0.0000,0.0000,0.0000,0.0000,92,1,0.2242,0.4551,D90,28.655,67.802,21,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0023,0.0000,0.0000,,,92,1,0.2242,0.4551,D90,28.655,67.802,21,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0023,0.0000,0.0000,0.0000,0.0000,83,1,0.2242,0.4551,D90,28.655,67.802,21,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0023,0.0000,0.0000,,,83,1,0.2242,0.4551,D90,28.655,67.802,21,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0024,297.5712,297.5712,162.7848,162.7848,96,1,0.2651,0.5507,C30,25.437,52.595,16,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0024,297.5712,297.5712,,,96,1,0.2651,0.5507,C30,25.437,52.595,16,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0024,297.5712,297.5712,162.7848,162.7848,93,1,0.2651,0.5507,C30,25.437,52.595,16,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0024,297.5712,297.5712,,,93,1,0.2651,0.5507,C30,25.437,52.595,16,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0024,290.7848,290.7848,162.7848,162.7848,77,1,0.2651,0.5507,C30,25.437,52.595,16,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0024,290.7848,290.7848,,,77,1,0.2651,0.5507,C30,25.437,52.595,16,150
