scope,size,arrival,rule,beta,n,mean_twt_rule,mean_twt_oracle,abs_gap,pct_headroom,pct_headroom_wonly,wins,ties,losses,util_pooled,util_worst,window_bh,makespan,incomplete_at_window,n_wos
c5,400,a200,atc,1.0,30,111.4647,110.1153,1.3494,1.2106,0.0000,7,23,0,0.6306,1.2120,19.492,57.997,63.267,400.000
c5,400,a200,edd,0.25,30,54.0358,48.2150,5.8208,10.7722,,7,23,0,0.6306,1.2120,19.492,57.997,63.267,400.000
c5,400,a200,edd,0.5,30,48.7408,43.2696,5.4711,11.2250,,6,23,1,0.6306,1.2120,19.492,57.997,63.267,400.000
c5,400,a200,edd,1.0,30,110.4421,109.9160,0.5261,0.4764,,5,25,0,0.6306,1.2120,19.492,57.997,63.267,400.000
c5,400,a300,atc,0.25,30,69.8270,46.2433,23.5837,33.7745,0.0000,19,11,0,0.9648,1.9728,12.654,51.479,98.733,400.000
c5,400,a300,atc,0.5,30,79.9722,68.0486,11.9237,14.9098,0.0000,17,12,1,0.9648,1.9728,12.654,51.479,98.733,400.000
c5,400,a300,atc,1.0,30,110.9390,106.4149,4.5241,4.0780,0.0000,12,18,0,0.9648,1.9728,12.654,51.479,98.733,400.000
c5,400,a300,edd,0.25,30,72.0455,46.3288,25.7167,35.6951,,17,13,0,0.9648,1.9728,12.654,51.479,98.733,400.000
c5,400,a300,edd,0.5,30,81.2915,67.9043,13.3873,16.4682,,16,13,1,0.9648,1.9728,12.654,51.479,98.733,400.000
c5,400,a300,edd,1.0,30,112.9871,104.7935,8.1937,7.2518,,14,14,2,0.9648,1.9728,12.654,51.479,98.733,400.000
c10,150,a125,atc,0.25,30,19.6946,19.6946,0.0000,0.0000,0.0000,0,30,0,0.0897,0.2535,18.553,44.605,10.767,150.000
c10,150,a125,atc,0.5,30,19.3968,19.3968,0.0000,0.0000,0.0000,0,30,0,0.0897,0.2535,18.553,44.605,10.767,150.000
c10,150,a125,atc,1.0,30,25.1549,25.1549,0.0000,0.0000,0.0000,0,30,0,0.0897,0.2535,18.553,44.605,10.767,150.000
c10,150,a125,edd,0.25,30,19.6946,19.6946,0.0000,0.0000,,0,30,0,0.0897,0.2535,18.553,44.605,10.767,150.000
c10,150,a125,edd,0.5,30,19.3968,19.3968,0.0000,0.0000,,0,30,0,0.0897,0.2535,18.553,44.605,10.767,150.000
c10,150,a125,edd,1.0,30,25.1549,25.1549,0.0000,0.0000,,0,30,0,0.0897,0.2535,18.553,44.605,10.767,150.000
c10,150,a150,atc,0.25,30,27.6314,27.6314,0.0000,0.0000,0.0000,0,30,0,0.1076,0.3042,15.461,42.618,12.333,150.000
c10,150,a150,atc,0.5,30,27.5496,27.5496,0.0000,0.0000,0.0000,0,30,0,0.1076,0.3042,15.461,42.618,12.333,150.000
c10,150,a150,atc,1.0,30,25.1549,25.1549,0.0000,0.0000,0.0000,0,30,0,0.1076,0.3042,15.461,42.618,12.333,150.000
c10,150,a150,edd,0.25,30,27.6314,27.6314,0.0000,0.0000,,0,30,0,0.1076,0.3042,15.461,42.618,12.333,150.000
c10,150,a150,edd,0.5,30,27.5496,27.5496,0.0000,0.0000,,0,30,0,0.1076,0.3042,15.461,42.618,12.333,150.000
c10,150,a150,edd,1.0,30,25.1549,25.1549,0.0000,0.0000,,0,30,0,0.1076,0.3042,15.461,42.618,12.333,150.000
c10,150,a200,atc,0.25,30,28.2057,28.2057,0.0000,0.0000,0.0000,0,30,0,0.1323,0.3708,11.694,33.279,15.967,150.000
c10,150,a200,atc,0.5,30,20.8991,20.8991,0.0000,0.0000,0.0000,0,30,0,0.1323,0.3708,11.694,33.279,15.967,150.000
c10,150,a200,atc,1.0,30,27.0437,27.0437,0.0000,0.0000,0.0000,0,30,0,0.1323,0.3708,11.694,33.279,15.967,150.000
c10,150,a200,edd,0.25,30,28.2057,28.2057,0.0000,0.0000,,0,30,0,0.1323,0.3708,11.694,33.279,15.967,150.000
c10,150,a200,edd,0.5,30,20.8991,20.8991,0.0000,0.0000,,0,30,0,0.1323,0.3708,11.694,33.279,15.967,150.000
c10,150,a200,edd,1.0,30,27.0437,27.0437,0.0000,0.0000,,0,30,0,0.1323,0.3708,11.694,33.279,15.967,150.000
c10,150,a300,atc,0.25,30,13.5622,13.5622,0.0000,0.0000,0.0000,0,30,0,0.1984,0.5381,8.080,33.595,16.500,150.000
c10,150,a300,atc,0.5,30,13.5622,13.5622,0.0000,0.0000,0.0000,0,30,0,0.1984,0.5381,8.080,33.595,16.500,150.000
c10,150,a300,atc,1.0,30,33.7662,33.7662,0.0000,0.0000,0.0000,0,30,0,0.1984,0.5381,8.080,33.595,16.500,150.000
c10,150,a300,edd,0.25,30,13.5622,13.5622,0.0000,0.0000,,0,30,0,0.1984,0.5381,8.080,33.595,16.500,150.000
c10,150,a300,edd,0.5,30,13.5622,13.5622,0.0000,0.0000,,0,30,0,0.1984,0.5381,8.080,33.595,16.500,150.000
c10,150,a300,edd,1.0,30,33.7662,33.7662,0.0000,0.0000,,0,30,0,0.1984,0.5381,8.080,33.595,16.500,150.000
c10,400,a125,atc,0.25,30,59.7727,59.7727,0.0000,0.0000,0.0000,0,30,0,0.0878,0.1742,48.805,76.719,11.833,400.000
c10,400,a125,atc,0.5,30,67.1289,67.1289,0.0000,0.0000,0.0000,0,30,0,0.0878,0.1742,48.805,76.719,11.833,400.000
c10,400,a125,atc,1.0,30,83.7909,83.7909,0.0000,0.0000,0.0000,0,30,0,0.0878,0.1742,48.805,76.719,11.833,400.000
c10,400,a125,edd,0.25,30,59.7727,59.7727,0.0000,0.0000,,0,30,0,0.0878,0.1742,48.805,76.719,11.833,400.000
c10,400,a125,edd,0.5,30,67.1289,67.1289,0.0000,0.0000,,0,30,0,0.0878,0.1742,48.805,76.719,11.833,400.000
c10,400,a125,edd,1.0,30,83.7909,83.7909,0.0000,0.0000,,0,30,0,0.0878,0.1742,48.805,76.719,11.833,400.000
c10,400,a150,atc,0.25,30,59.7836,59.7836,0.0000,0.0000,0.0000,0,30,0,0.1053,0.2090,40.671,70.502,13.633,400.000
c10,400,a150,atc,0.5,30,64.4115,64.4115,0.0000,0.0000,0.0000,0,30,0,0.1053,0.2090,40.671,70.502,13.633,400.000
c10,400,a150,atc,1.0,30,78.6769,78.6769,0.0000,0.0000,0.0000,0,30,0,0.1053,0.2090,40.671,70.502,13.633,400.000
c10,400,a150,edd,0.25,30,59.7836,59.7836,0.0000,0.0000,,0,30,0,0.1053,0.2090,40.671,70.502,13.633,400.000
c10,400,a150,edd,0.5,30,64.4115,64.4115,0.0000,0.0000,,0,30,0,0.1053,0.2090,40.671,70.502,13.633,400.000
c10,400,a150,edd,1.0,30,78.6769,78.6769,0.0000,0.0000,,0,30,0,0.1053,0.2090,40.671,70.502,13.633,400.000
c10,400,a200,atc,0.25,30,31.8301,31.8301,0.0000,0.0000,0.0000,0,30,0,0.1404,0.2567,30.643,70.829,17.667,400.000
c10,400,a200,atc,0.5,30,34.4129,34.4129,0.0000,0.0000,0.0000,0,30,0,0.1404,0.2567,30.643,70.829,17.667,400.000
c10,400,a200,atc,1.0,30,36.2833,36.2833,0.0000,0.0000,0.0000,0,30,0,0.1404,0.2567,30.643,70.829,17.667,400.000
c10,400,a200,edd,0.25,30,31.8301,31.8301,0.0000,0.0000,,0,30,0,0.1404,0.2567,30.643,70.829,17.667,400.000
c10,400,a200,edd,0.5,30,34.4129,34.4129,0.0000,0.0000,,0,30,0,0.1404,0.2567,30.643,70.829,17.667,400.000
c10,400,a200,edd,1.0,30,36.2833,36.2833,0.0000,0.0000,,0,30,0,0.1404,0.2567,30.643,70.829,17.667,400.000
c10,400,a300,atc,0.25,30,89.5858,89.5858,0.0000,0.0000,0.0000,0,30,0,0.2139,0.6003,20.342,64.234,24.167,400.000
c10,400,a300,atc,0.5,30,102.3638,102.3638,0.0000,0.0000,0.0000,0,30,0,0.2139,0.6003,20.342,64.234,24.167,400.000
c10,400,a300,atc,1.0,30,97.1287,97.1287,0.0000,0.0000,0.0000,0,30,0,0.2139,0.6003,20.342,64.234,24.167,400.000
