scope,rule,u,beta,util_pool,util_worst,inc_atc_frac,inc_atc,n_wos,n,mean_rule,mean_oracle,pct_headroom,wins,ties,losses
pool_5+10,atc,110,0.25,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,11774.2831,1580.4133,86.5774,24,0,0
pool_5+10,edd,110,0.25,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,12591.2881,1580.4133,87.4484,24,0,0
pool_5+10,atc,110,0.5,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,14066.3447,1754.9301,87.5239,24,0,0
pool_5+10,edd,110,0.5,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,15125.0310,1754.9301,88.3972,24,0,0
pool_5+10,atc,110,0.75,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,16491.7825,2023.3727,87.7310,24,0,0
pool_5+10,edd,110,0.75,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,17795.4054,2023.3727,88.6298,24,0,0
pool_5+10,atc,110,1.0,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,20893.2480,2373.1438,88.6416,24,0,0
pool_5+10,edd,110,1.0,1.0919,1.6455,0.2086,1580.5417,6956.1667,24,22546.2375,2373.1438,89.4743,24,0,0
pool_5+10,atc,130,0.25,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,39750.8754,2051.7692,94.8384,24,0,0
pool_5+10,edd,130,0.25,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,41194.1187,2051.7692,95.0193,24,0,0
pool_5+10,atc,130,0.5,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,47748.0163,2388.0418,94.9987,24,0,0
pool_5+10,edd,130,0.5,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,49797.3113,2388.0418,95.2045,24,0,0
pool_5+10,atc,130,0.75,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,55973.8819,2785.6121,95.0234,24,0,0
pool_5+10,edd,130,0.75,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,58611.7157,2785.6121,95.2473,24,0,0
pool_5+10,atc,130,1.0,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,69761.1646,3677.7319,94.7281,24,0,0
pool_5+10,edd,130,1.0,1.3100,1.9425,0.3212,2729.2917,8219.5000,24,72957.8639,3677.7319,94.9591,24,0,0
c9,atc,70,0.25,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1019.5435,1013.8002,0.5633,3,6,3
c9,edd,70,0.25,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1015.6944,1013.8002,0.1865,3,6,3
c9,atc,70,0.5,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1076.3094,1071.8635,0.4131,2,8,2
c9,edd,70,0.5,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1073.0916,1071.8635,0.1144,2,7,3
c9,atc,70,0.75,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1100.1696,1096.7765,0.3084,2,7,3
c9,edd,70,0.75,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1096.3408,1096.7765,-0.0397,2,5,5
c9,atc,70,1.0,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1129.9925,1122.6386,0.6508,4,5,3
c9,edd,70,1.0,0.6868,0.9481,0.0465,73.5833,1578.8333,12,1120.7264,1122.6386,-0.1706,2,4,6
c9,atc,90,0.25,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1570.1666,1335.5307,14.9434,12,0,0
c9,edd,90,0.25,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1477.2567,1335.5307,9.5939,12,0,0
c9,atc,90,0.5,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1742.1088,1444.0928,17.1066,12,0,0
c9,edd,90,0.5,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1644.3833,1444.0928,12.1803,10,0,2
c9,atc,90,0.75,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1813.3787,1487.4067,17.9759,11,0,1
c9,edd,90,0.75,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1696.5306,1487.4067,12.3266,9,0,3
c9,atc,90,1.0,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1912.8182,1519.5583,20.5592,12,0,0
c9,edd,90,1.0,0.9084,1.2078,0.1037,211.9167,2040.4167,12,1761.8077,1519.5583,13.7500,11,0,1
c9,atc,100,0.25,1.0035,1.3491,0.1550,353.4167,2277.5833,12,1989.9573,1197.5996,39.8178,12,0,0
c9,edd,100,0.25,1.0035,1.3491,0.1550,353.4167,2277.5833,12,1920.5085,1197.5996,37.6415,12,0,0
c9,atc,100,0.5,1.0035,1.3491,0.1550,353.4167,2277.5833,12,2318.1687,1334.7775,42.4210,12,0,0
c9,edd,100,0.5,1.0035,1.3491,0.1550,353.4167,2277.5833,12,2274.8196,1334.7775,41.3238,12,0,0
c9,atc,100,0.75,1.0035,1.3491,0.1550,353.4167,2277.5833,12,2726.2408,1511.2582,44.5662,12,0,0
c9,edd,100,0.75,1.0035,1.3491,0.1550,353.4167,2277.5833,12,2679.1214,1511.2582,43.5913,12,0,0
c9,atc,100,1.0,1.0035,1.3491,0.1550,353.4167,2277.5833,12,2849.3436,1460.0682,48.7577,12,0,0
c9,edd,100,1.0,1.0035,1.3491,0.1550,353.4167,2277.5833,12,2871.4897,1460.0682,49.1529,11,0,1
c9,atc,110,0.25,1.0900,1.4995,0.2053,507.4167,2470.6667,12,3751.3550,1643.4310,56.1910,12,0,0
c9,edd,110,0.25,1.0900,1.4995,0.2053,507.4167,2470.6667,12,3728.4846,1643.4310,55.9223,12,0,0
c9,atc,110,0.5,1.0900,1.4995,0.2053,507.4167,2470.6667,12,4366.6102,1655.9941,62.0760,12,0,0
c9,edd,110,0.5,1.0900,1.4995,0.2053,507.4167,2470.6667,12,4338.2503,1655.9941,61.8281,12,0,0
c9,atc,110,0.75,1.0900,1.4995,0.2053,507.4167,2470.6667,12,4935.3975,1738.6835,64.7712,12,0,0
c9,edd,110,0.75,1.0900,1.4995,0.2053,507.4167,2470.6667,12,4931.3673,1738.6835,64.7424,12,0,0
c9,atc,110,1.0,1.0900,1.4995,0.2053,507.4167,2470.6667,12,5951.5790,1870.0328,68.5792,12,0,0
c9,edd,110,1.0,1.0900,1.4995,0.2053,507.4167,2470.6667,12,6205.3773,1870.0328,69.8643,12,0,0
c9,atc,130,0.25,1.3100,1.7469,0.3065,910.5833,2967.6667,12,9475.0981,2138.6454,77.4288,12,0,0
c9,edd,130,0.25,1.3100,1.7469,0.3065,910.5833,2967.6667,12,10529.1583,2138.6454,79.6884,12,0,0
c9,atc,130,0.5,1.3100,1.7469,0.3065,910.5833,2967.6667,12,11523.3147,2318.3410,79.8813,12,0,0
c9,edd,130,0.5,1.3100,1.7469,0.3065,910.5833,2967.6667,12,12837.3544,2318.3410,81.9407,12,0,0
