campus,u,beta,inst_id,n_wos,util_pool,util_worst,inc_atc,inc_atc_frac,makespan_atc,twt_atc,twt_edd,twt_oracle,feas_atc,feas_edd,feas_oracle
5,130,0.75,c05_storm2_w80_u130_0000,4264,1.3539670797413799,1.9730624999999993,1282,0.30065666041275796,165.93439999999998,32509.58960000001,38546.089799999965,3740.934600000001,True,True,True
5,130,1.0,c05_storm2_w80_u130_0000,4264,1.3539670797413799,1.9730624999999993,1282,0.30065666041275796,165.93439999999998,35517.6126,43042.394799999965,3562.2513999999996,True,True,True
5,130,0.25,c05_storm2_w80_u130_0001,4295,1.328020732758621,2.1823306249999996,1372,0.31944121071012804,178.43430000000006,32164.453199999985,33554.79239999999,1194.1628,True,True,True
5,130,0.5,c05_storm2_w80_u130_0001,4295,1.328020732758621,2.1823306249999996,1372,0.31944121071012804,178.43430000000006,39843.32479999997,41243.23759999997,2061.271799999999,True,True,True
5,130,0.75,c05_storm2_w80_u130_0001,4295,1.328020732758621,2.1823306249999996,1372,0.31944121071012804,178.43430000000006,44628.53659999998,45995.99459999998,2711.0215999999996,True,True,True
5,130,1.0,c05_storm2_w80_u130_0001,4295,1.328020732758621,2.1823306249999996,1372,0.31944121071012804,178.43430000000006,52458.56719999997,54214.583799999964,5399.289399999999,True,True,True
5,130,0.25,c05_storm2_w80_u130_0002,4308,1.3464154525862067,2.094368333333334,1467,0.34052924791086353,170.2694,31109.988400000002,31316.54139999998,1026.4547999999995,True,True,True
5,130,0.5,c05_storm2_w80_u130_0002,4308,1.3464154525862067,2.094368333333334,1467,0.34052924791086353,170.2694,40295.954,40634.44259999997,1589.3404,True,True,True
5,130,0.75,c05_storm2_w80_u130_0002,4308,1.3464154525862067,2.094368333333334,1467,0.34052924791086353,170.2694,44291.431399999994,45015.15659999996,2140.2371999999996,True,True,True
5,130,1.0,c05_storm2_w80_u130_0002,4308,1.3464154525862067,2.094368333333334,1467,0.34052924791086353,170.2694,53583.059599999986,54609.995399999956,2732.4424000000017,True,True,True
