cell,decider,seed,true_class,n_orders,n_attained,attain_pct,twt_per_inst
c9_storm2_u100_b1.00_r0.25,m0_sup,306,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,306,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,307,1,1750,1479,84.51428571428572,1587.15976
c9_storm2_u100_b1.00_r0.25,m0_sup,307,2,5436,5335,98.1420161883738,286.0149200000001
c9_storm2_u100_b1.00_r0.25,m0_sup,307,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,307,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,308,1,1750,1475,84.28571428571429,1596.2531999999999
c9_storm2_u100_b1.00_r0.25,m0_sup,308,2,5436,5363,98.6571008094187,225.70388000000003
c9_storm2_u100_b1.00_r0.25,m0_sup,308,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,308,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,309,1,1750,1484,84.8,1586.08552
c9_storm2_u100_b1.00_r0.25,m0_sup,309,2,5436,5354,98.4915378955114,247.98688
c9_storm2_u100_b1.00_r0.25,m0_sup,309,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,309,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,310,1,1750,1481,84.62857142857143,1590.0630400000002
c9_storm2_u100_b1.00_r0.25,m0_sup,310,2,5436,5319,97.8476821192053,307.38136000000014
c9_storm2_u100_b1.00_r0.25,m0_sup,310,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,310,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,301,1,1750,1481,84.62857142857143,1604.37736
c9_storm2_u100_b1.00_r0.25,m1_alone,301,2,5436,5197,95.60338484179543,620.7854000000002
