cell,decider,seed,n_inst,n_orders,n_attained,attain_pct,twt_true_sum,twt_true_mean_per_inst,access_penalty_sum
c9_storm2_u90_b1.00_r0.25,rule_sup,303,10,20259,19914,98.29705316155783,16188.921199999997,1618.8921199999997,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,301,10,20259,19968,98.56360136235747,14436.450400000002,1443.64504,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,302,10,20259,19977,98.60802606249075,14259.853200000003,1425.9853200000002,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,303,10,20259,19970,98.57347351794265,14260.416,1426.0416,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,301,10,20259,19975,98.59815390690558,14319.646800000002,1431.9646800000003,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,302,10,20259,19980,98.6228342958685,14211.735600000004,1421.1735600000004,0.0
c9_storm2_u90_b1.00_r0.25,m0_sup,303,10,20259,19979,98.61789821807592,14122.311199999998,1412.23112,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,301,10,20259,19978,98.61296214028333,14409.6996,1440.96996,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,302,10,20259,19977,98.60802606249075,14755.3724,1475.53724,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,303,10,20259,19980,98.6228342958685,14483.4052,1448.34052,0.0
c9_storm2_u90_b1.00_r0.25,oracle,301,10,20259,19980,98.6228342958685,14316.216000000002,1431.6216000000002,0.0
c9_storm2_u90_b1.00_r0.25,oracle,302,10,20259,19980,98.6228342958685,14316.216000000002,1431.6216000000002,0.0
c9_storm2_u90_b1.00_r0.25,oracle,303,10,20259,19980,98.6228342958685,14316.216000000002,1431.6216000000002,0.0
c9_storm2_u100_b0.75_r0.25,rule,301,10,22639,21948,96.94774504174212,32301.952,3230.1952,0.0
c9_storm2_u100_b0.75_r0.25,rule,302,10,22639,21948,96.94774504174212,32301.952,3230.1952,0.0
c9_storm2_u100_b0.75_r0.25,rule,303,10,22639,21948,96.94774504174212,32301.952,3230.1952,0.0
c9_storm2_u100_b0.75_r0.25,rule_sup,301,10,22639,22074,97.50430672732895,24260.4564,2426.04564,0.0
c9_storm2_u100_b0.75_r0.25,rule_sup,302,10,22639,22074,97.50430672732895,24260.4564,2426.04564,0.0
c9_storm2_u100_b0.75_r0.25,rule_sup,303,10,22639,22074,97.50430672732895,24260.4564,2426.04564,0.0
c9_storm2_u100_b0.75_r0.25,m0_alone,301,10,22639,22223,98.16246300631653,20489.125200000002,2048.9125200000003,0.0
c9_storm2_u100_b0.75_r0.25,m0_alone,302,10,22639,22201,98.06528556915057,21406.746,2140.6746,0.0
c9_storm2_u100_b0.75_r0.25,m0_alone,303,10,22639,22186,97.99902822562834,21010.208000000002,2101.0208000000002,0.0
c9_storm2_u100_b0.75_r0.25,m0_sup,301,10,22639,22279,98.40982375546623,18286.8324,1828.6832399999998,0.0
c9_storm2_u100_b0.75_r0.25,m0_sup,302,10,22639,22282,98.42307522417067,18100.512000000002,1810.0512000000003,0.0
c9_storm2_u100_b0.75_r0.25,m0_sup,303,10,22639,22259,98.32148063076991,18789.868000000002,1878.9868000000001,0.0
c9_storm2_u100_b0.75_r0.25,m1_alone,301,10,22639,22233,98.2066345686647,20378.37,2037.837,0.0
c9_storm2_u100_b0.75_r0.25,m1_alone,302,10,22639,22235,98.21546888113433,20282.3588,2028.2358800000002,0.0
c9_storm2_u100_b0.75_r0.25,m1_alone,303,10,22639,22229,98.18896594372544,20687.2776,2068.72776,0.0
c9_storm2_u100_b0.75_r0.25,oracle,301,10,22639,22317,98.57767569238923,17898.032399999996,1789.8032399999997,0.0
c9_storm2_u100_b0.75_r0.25,oracle,302,10,22639,22317,98.57767569238923,17898.032399999996,1789.8032399999997,0.0
c9_storm2_u100_b0.75_r0.25,oracle,303,10,22639,22317,98.57767569238923,17898.032399999996,1789.8032399999997,0.0
