seed,inst_id,rule,m0_alone,oracle,m1_alone,rule_sup,m0_sup,m1_sup
307,c09_storm2_w80_u100_0021,2468.501600,2138.969600,2178.691200,2186.787200,2425.110000,2138.969600,2186.787200
307,c09_storm2_w80_u100_0022,1216.011200,1091.884800,991.862400,1018.293200,1099.216000,1078.167600,1017.762000
307,c09_storm2_w80_u100_0023,5676.362400,2722.962000,2621.206400,3325.936400,4018.612400,2590.514400,3307.065200
307,c09_storm2_w80_u100_0024,4396.206800,2155.894800,1996.894800,2294.804400,2834.593600,2006.168000,2292.365600
307,c09_storm2_w80_u100_0025,6411.756400,2927.075600,2533.840800,3367.625200,4054.931600,2651.321600,3330.316800
307,c09_storm2_w80_u100_0026,5006.202000,2370.016400,1938.243600,2748.899600,4109.313600,2257.358400,2748.899600
307,c09_storm2_w80_u100_0027,2535.368000,1684.542800,1685.882800,1726.273600,2061.197200,1657.582800,1726.273600
307,c09_storm2_w80_u100_0028,2083.722400,1303.934800,1316.495200,1305.676800,2021.848800,1303.934800,1306.747600
307,c09_storm2_w80_u100_0029,4540.255600,1643.560800,1226.778800,2331.354000,2328.602400,1404.263600,2324.800400
308,c09_storm2_w80_u100_0020,2113.920800,1668.438400,1660.290800,1682.973200,1974.308800,1637.584000,1647.315600
308,c09_storm2_w80_u100_0021,2468.501600,2152.648800,2178.691200,2199.406400,2425.110000,2154.628800,2205.816000
308,c09_storm2_w80_u100_0022,1216.011200,1011.013200,991.862400,1019.503600,1099.216000,1007.240000,1019.503600
308,c09_storm2_w80_u100_0023,5676.362400,2706.589200,2621.206400,3476.762800,4018.612400,2668.862000,3474.703200
308,c09_storm2_w80_u100_0024,4396.206800,2060.535200,1996.894800,2361.291600,2834.593600,1993.763600,2361.291600
308,c09_storm2_w80_u100_0025,6411.756400,2715.808800,2533.840800,3459.592400,4054.931600,2548.166400,3405.022400
308,c09_storm2_w80_u100_0026,5006.202000,1984.746400,1938.243600,3074.568800,4109.313600,1949.553200,3069.441600
308,c09_storm2_w80_u100_0027,2535.368000,1671.937200,1685.882800,1738.415200,2061.197200,1672.992800,1738.164000
308,c09_storm2_w80_u100_0028,2083.722400,1301.922000,1316.495200,1299.535600,2021.848800,1301.922000,1299.535600
308,c09_storm2_w80_u100_0029,4540.255600,1444.988800,1226.778800,2335.385600,2328.602400,1284.858000,2335.385600
309,c09_storm2_w80_u100_0020,2113.920800,1669.023200,1660.290800,1785.146400,1974.308800,1632.850800,1646.504800
309,c09_storm2_w80_u100_0021,2468.501600,2135.371600,2178.691200,2190.585600,2425.110000,2139.324000,2196.503200
309,c09_storm2_w80_u100_0022,1216.011200,1042.496000,991.862400,1064.294000,1099.216000,1040.841200,1064.294000
309,c09_storm2_w80_u100_0023,5676.362400,2848.595600,2621.206400,3439.596400,4018.612400,2597.321600,3436.077200
309,c09_storm2_w80_u100_0024,4396.206800,2444.102000,1996.894800,2315.150800,2834.593600,2034.183600,2314.098400
309,c09_storm2_w80_u100_0025,6411.756400,3135.729600,2533.840800,3366.412800,4054.931600,2614.545200,3371.941200
309,c09_storm2_w80_u100_0026,5006.202000,1921.107600,1938.243600,3410.992000,4109.313600,1920.693600,3411.640400
309,c09_storm2_w80_u100_0027,2535.368000,1778.166000,1685.882800,1711.747600,2061.197200,1689.421600,1708.244000
309,c09_storm2_w80_u100_0028,2083.722400,1321.391600,1316.495200,1307.094800,2021.848800,1318.904800,1306.286800
309,c09_storm2_w80_u100_0029,4540.255600,1882.062400,1226.778800,2316.676400,2328.602400,1352.637600,2307.505600
310,c09_storm2_w80_u100_0020,2113.920800,1697.858800,1660.290800,1694.748400,1974.308800,1646.306000,1638.230800
310,c09_storm2_w80_u100_0021,2468.501600,2136.596000,2178.691200,2183.836000,2425.110000,2136.596000,2183.836000
310,c09_storm2_w80_u100_0022,1216.011200,992.486800,991.862400,1045.924800,1099.216000,990.366000,1026.239600
310,c09_storm2_w80_u100_0023,5676.362400,2934.322400,2621.206400,3433.384800,4018.612400,2854.139200,3450.974800
310,c09_storm2_w80_u100_0024,4396.206800,2263.425600,1996.894800,2348.471600,2834.593600,2016.521200,2347.342800
310,c09_storm2_w80_u100_0025,6411.756400,2951.308000,2533.840800,3411.844800,4054.931600,2637.730400,3373.935600
310,c09_storm2_w80_u100_0026,5006.202000,2585.063200,1938.243600,3061.031200,4109.313600,2257.660000,3061.031200
310,c09_storm2_w80_u100_0027,2535.368000,1755.971600,1685.882800,1735.233200,2061.197200,1684.581200,1735.233200
310,c09_storm2_w80_u100_0028,2083.722400,1302.925200,1316.495200,1300.503600,2021.848800,1302.925200,1300.477600
310,c09_storm2_w80_u100_0029,4540.255600,1763.604000,1226.778800,2319.557600,2328.602400,1447.618800,2318.153600
