source,campus,crew_m,beta,inst_id,pooled_u,worst_u,incomplete,rec_atc,or_atc,pred_atc,rec_port,true_port,pred_port,rec_ga,true_ga,pred_ga,rulesup,rev_frac,or_rate
replay,9,0.25,0.5,c09_replay_400_0019,1.1914210128495843,2.248677248677249,120,1564.5987999999998,1080.2656000000002,1244.6655999999998,1298.1324,1039.5984,1244.6655999999998,1650.1323999999997,956.0,1627.5331999999999,1124.6655999999998,0.24464831804281345,0.1
replay,9,0.25,1.0,c09_replay_400_0019,1.1914210128495843,2.248677248677249,120,1541.5988,1050.9320000000002,1050.9320000000002,1200.1646000000005,982.7992000000002,982.7992000000002,1401.1984000000002,895.9992,895.9992,1260.532,0.24464831804281345,0.15
replay,9,0.25,0.0,c09_replay_400_0020,1.1125619182247075,3.8860127314920643,88,1640.4332000000002,1543.5667,1640.4332000000002,1640.4332000000002,1543.5667,1640.4332000000002,1075.2324,532.0334,1075.2324,1636.5668,0.23684210526315788,0.027777777777777776
replay,9,0.25,0.25,c09_replay_400_0020,1.1125619182247075,3.8860127314920643,88,1657.6164,1557.2836,1649.8168,1638.3000000000002,1557.2836,1649.8168,756.7668000000001,545.3331000000001,611.8334000000001,1645.55,0.23432343234323433,0.028169014084507043
replay,9,0.25,0.5,c09_replay_400_0020,1.1125619182247075,3.8860127314920643,88,1832.8832,1682.4168,1754.0836000000002,1832.8832,1682.4168,1754.0836000000002,1016.4335999999998,707.7,937.5668000000001,1768.3500000000001,0.23355263157894737,0.07042253521126761
replay,9,0.25,1.0,c09_replay_400_0020,1.1125619182247075,3.8860127314920643,88,1263.746,1067.346,1067.346,1263.746,1067.346,1067.346,997.2296000000001,415.3963000000001,415.3963000000001,1197.146,0.23355263157894737,0.056338028169014086
replay,9,0.25,0.0,c09_replay_400_0021,2.365917820458565,4.045706508173482,209,926.7331999999999,144.39999999999998,926.7331999999999,804.4,144.39999999999998,804.4,1222.8668,118.26639999999999,1222.8668,583.7331999999999,0.23421052631578948,0.1348314606741573
replay,9,0.25,0.25,c09_replay_400_0021,2.365917820458565,4.045706508173482,209,1322.1996,246.8,847.7995999999999,737.4664000000001,246.8,847.7995999999999,1498.0,208.6664,1249.2012000000002,713.5996000000001,0.23157894736842105,0.18181818181818182
replay,9,0.25,0.5,c09_replay_400_0021,2.365917820458565,4.045706508173482,209,1658.9328,252.8,1626.3328000000001,728.4664000000001,252.8,793.4664000000001,2057.7331999999997,238.8,2009.5331999999999,1102.3328000000001,0.2394736842105263,0.2087912087912088
replay,9,0.25,1.0,c09_replay_400_0021,2.365917820458565,4.045706508173482,209,3914.3332000000005,1012.4663999999999,1012.4663999999999,1308.0664000000002,1012.4663999999999,1012.4663999999999,4397.999999999999,965.1327999999999,965.1327999999999,3867.7332,0.25,0.042105263157894736
