cell,tag,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1711.074800,1307.423600,1285.333600,0.247631,0.061224,0.244924,0.049223
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3312.719600,2371.488800,1896.992800,0.250422,0.112360,0.245357,0.087156
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2450.197600,2062.020400,1851.407200,0.242049,0.099757,0.243275,0.067308
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1566.585200,1383.650800,1322.403200,0.245092,0.056848,0.244164,0.043928
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1382.917200,1218.939200,1174.773600,0.249207,0.050891,0.247950,0.030534
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0029,2294.863600,1370.337600,2064.452800,1291.096000,1059.860800,0.241265,0.075862,0.245847,0.056306
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1364.297600,1227.712400,1177.979600,0.249253,0.059952,0.249106,0.050239
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1497.627600,1375.030400,1348.460800,0.248820,0.059621,0.248151,0.032520
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0022,936.385600,926.554400,985.409200,907.247200,873.416000,0.249833,0.016043,0.250000,0.029178
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3246.258400,2530.444000,2308.195200,0.244850,0.139423,0.243860,0.103118
