decider_channel,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,m0_final_r,m0_final_orr
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0029,2253,4540.255600,1606.216000,1287.401200,2328.602400,1226.778800,0.4151,0.0322
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1663.179600,1635.969200,1974.308800,1660.290800,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2143.725600,2141.764000,2425.110000,2178.691200,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,1216.011200,1001.874400,1005.076000,1099.216000,991.862400,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,5676.362400,2946.621200,2811.752400,4018.612400,2621.206400,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,4396.206800,2160.463200,1994.448400,2834.593600,1996.894800,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0025,2253,6411.756400,2776.694000,2587.427600,4054.931600,2533.840800,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0026,2253,5006.202000,3395.182400,2919.490400,4109.313600,1938.243600,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0027,2253,2535.368000,1675.491600,1671.183600,2061.197200,1685.882800,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0028,2253,2083.722400,1303.406000,1303.406000,2021.848800,1316.495200,0.3866,0.0204
deadline_only,9,100,1.0,0.25,305,c09_storm2_w80_u100_0029,2253,4540.255600,1632.618000,1436.538000,2328.602400,1226.778800,0.3866,0.0204
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,2113.920800,1930.272800,1822.019200,1974.308800,1660.290800,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,2468.501600,2321.095600,2280.213600,2425.110000,2178.691200,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,1216.011200,1125.770000,1050.174400,1099.216000,991.862400,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,4969.540800,3292.855200,4018.612400,2621.206400,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,4068.413600,2662.831600,2834.593600,1996.894800,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,5765.331600,3974.945200,4054.931600,2533.840800,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,4586.315600,4010.196000,4109.313600,1938.243600,0.5363,0.0820
weight_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,2296.178800,1816.972400,2061.197200,1685.882800,0.5363,0.0820
