mechanism,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,rule_sup_revfrac,m0_sup_revfrac,m0_final_r,m0_final_orr,m0_final_sign
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0025,2253,6411.756400,2694.260000,2519.262800,5181.872000,2533.840800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0026,2253,5006.202000,1942.391600,1912.009200,4243.455600,1938.243600,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0027,2253,2535.368000,1683.615200,1672.800800,2264.996800,1685.882800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0028,2253,2083.722400,1335.697600,1310.285600,2027.836800,1316.495200,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0029,2253,4540.255600,1618.178800,1243.623600,2836.126800,1226.778800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1625.900400,1626.784400,2057.542800,1660.290800,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2143.284800,2150.069600,2430.166000,2178.691200,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,1216.011200,989.137600,985.866000,1134.024000,991.862400,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,5676.362400,3110.358800,2734.344800,4621.684400,2621.206400,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,4396.206800,2507.430000,2178.615600,3520.736400,1996.894800,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0025,2253,6411.756400,3255.984400,2783.214400,4935.684400,2533.840800,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0026,2253,5006.202000,2059.144400,2018.645200,4423.118400,1938.243600,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0027,2253,2535.368000,1712.953600,1667.020800,2143.956000,1685.882800,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0028,2253,2083.722400,1303.875600,1303.699600,2033.764800,1316.495200,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0029,2253,4540.255600,2119.633600,1684.033600,2836.522000,1226.778800,0.0000,0.0000,0.5551,0.0090,0.5565
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0020,1983,2177.667200,1502.645600,1471.321600,2154.681600,1504.394400,0.2502,0.2500,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0021,1983,1754.070800,1714.508400,1714.508400,1719.228400,1724.693600,0.2496,0.2486,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0022,1983,1255.530000,1204.615200,1204.615200,1245.562400,1218.304800,0.2492,0.2490,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0023,1983,1251.113600,1207.516400,1190.050000,1242.408800,1185.189600,0.2490,0.2481,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0024,1983,2040.184000,1455.388800,1449.343200,1727.396400,1434.189200,0.2500,0.2505,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0025,1983,1653.087600,1571.213200,1571.213200,1621.426000,1550.068000,0.2492,0.2490,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0026,1983,1769.389600,1308.895600,1299.643200,1655.275200,1308.659600,0.2504,0.2443,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0027,1983,1752.833600,916.214800,833.194800,1041.454800,803.994000,0.2502,0.2500,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0028,1983,804.369600,692.674800,708.535600,778.310000,730.334800,0.2494,0.2488,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,301,c09_storm2_w80_u90_0029,1983,3061.778400,2862.777600,2877.221600,3003.177600,2856.388000,0.2504,0.2489,0.2913,0.0145,0.7232
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0020,1983,2177.667200,1459.928800,1463.176000,2154.681600,1504.394400,0.2502,0.2502,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0021,1983,1754.070800,1711.283200,1711.391200,1719.228400,1724.693600,0.2496,0.2473,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0022,1983,1255.530000,1202.207600,1201.691600,1245.562400,1218.304800,0.2492,0.2476,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0023,1983,1251.113600,1191.750000,1185.377200,1242.408800,1185.189600,0.2490,0.2477,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0024,1983,2040.184000,1425.160400,1432.006800,1727.396400,1434.189200,0.2500,0.2497,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0025,1983,1653.087600,1564.354400,1564.370400,1621.426000,1550.068000,0.2492,0.2490,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0026,1983,1769.389600,1286.770800,1289.735200,1655.275200,1308.659600,0.2504,0.2424,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0027,1983,1752.833600,909.309600,838.866000,1041.454800,803.994000,0.2502,0.2496,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0028,1983,804.369600,714.086000,721.081200,778.310000,730.334800,0.2494,0.2490,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,302,c09_storm2_w80_u90_0029,1983,3061.778400,2795.002400,2804.040000,3003.177600,2856.388000,0.2504,0.2480,0.2837,0.0138,0.5545
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0020,1983,2177.667200,1442.505200,1463.216000,2154.681600,1504.394400,0.2502,0.2504,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0021,1983,1754.070800,1712.989600,1712.989600,1719.228400,1724.693600,0.2496,0.2481,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0022,1983,1255.530000,1207.906000,1203.698800,1245.562400,1218.304800,0.2492,0.2494,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0023,1983,1251.113600,1205.097200,1187.263200,1242.408800,1185.189600,0.2490,0.2486,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0024,1983,2040.184000,1448.921600,1426.548000,1727.396400,1434.189200,0.2500,0.2505,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0025,1983,1653.087600,1563.323600,1563.323600,1621.426000,1550.068000,0.2492,0.2492,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0026,1983,1769.389600,1282.759600,1274.260000,1655.275200,1308.659600,0.2504,0.2443,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0027,1983,1752.833600,906.013200,820.642400,1041.454800,803.994000,0.2502,0.2502,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0028,1983,804.369600,697.722000,697.722000,778.310000,730.334800,0.2494,0.2496,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,303,c09_storm2_w80_u90_0029,1983,3061.778400,2793.178000,2772.647600,3003.177600,2856.388000,0.2504,0.2498,0.2847,0.0097,0.6975
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0020,1983,2177.667200,1535.984800,1474.552000,2154.681600,1504.394400,0.2502,0.2468,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0021,1983,1754.070800,1718.568800,1718.568800,1719.228400,1724.693600,0.2496,0.2479,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0022,1983,1255.530000,1208.007200,1208.007200,1245.562400,1218.304800,0.2492,0.2486,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0023,1983,1251.113600,1179.677200,1206.196400,1242.408800,1185.189600,0.2490,0.2484,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0024,1983,2040.184000,1435.210400,1432.535200,1727.396400,1434.189200,0.2500,0.2503,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0025,1983,1653.087600,1568.711200,1568.711200,1621.426000,1550.068000,0.2492,0.2492,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0026,1983,1769.389600,1286.551600,1281.996800,1655.275200,1308.659600,0.2504,0.2457,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0027,1983,1752.833600,945.555200,868.638400,1041.454800,803.994000,0.2502,0.2500,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0028,1983,804.369600,682.814000,711.690800,778.310000,730.334800,0.2494,0.2487,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,304,c09_storm2_w80_u90_0029,1983,3061.778400,2776.705200,2758.898000,3003.177600,2856.388000,0.2504,0.2487,0.2891,0.0140,0.6243
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0020,1983,2177.667200,1539.472800,1455.083200,2154.681600,1504.394400,0.2502,0.2470,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0021,1983,1754.070800,1711.612800,1715.692000,1719.228400,1724.693600,0.2496,0.2481,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0022,1983,1255.530000,1203.709200,1203.709200,1245.562400,1218.304800,0.2492,0.2488,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0023,1983,1251.113600,1215.494800,1201.997200,1242.408800,1185.189600,0.2490,0.2483,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0024,1983,2040.184000,1428.791200,1425.202000,1727.396400,1434.189200,0.2500,0.2505,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0025,1983,1653.087600,1572.779600,1574.198800,1621.426000,1550.068000,0.2492,0.2490,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0026,1983,1769.389600,1280.455600,1278.866800,1655.275200,1308.659600,0.2504,0.2416,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0027,1983,1752.833600,938.076400,804.470400,1041.454800,803.994000,0.2502,0.2498,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0028,1983,804.369600,704.809200,709.621200,778.310000,730.334800,0.2494,0.2490,0.2317,0.0123,0.4909
targeted,9,90,1.0,0.25,305,c09_storm2_w80_u90_0029,1983,3061.778400,2807.905200,2852.839600,3003.177600,2856.388000,0.2504,0.2489,0.2317,0.0123,0.4909
