campus,track,size,level,rule,beta,inst_id,twt_rule,twt_oracle
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0010,33.4992,33.4992
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0011,84.7700,84.7700
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0011,84.7700,84.7700
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0011,84.7700,84.7700
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0011,84.7700,84.7700
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0012,70.8592,70.8592
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0012,70.8592,70.8592
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0012,70.8592,70.8592
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0012,70.8592,70.8592
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0013,68.5936,68.5936
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0013,68.5936,68.5936
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0013,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0013,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0014,0.0000,0.0000
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0014,0.0000,0.0000
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0014,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0014,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0015,0.0000,0.0000
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0015,0.0000,0.0000
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0015,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0015,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0016,234.8704,234.8704
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0016,234.8704,234.8704
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0016,473.8704,473.8704
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0016,473.8704,473.8704
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0017,38.7248,38.7248
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0017,38.7248,38.7248
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0017,61.2316,61.2316
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0017,61.2316,61.2316
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0018,179.7880,179.7880
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0018,179.7880,179.7880
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0018,179.7880,179.7880
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0018,179.7880,179.7880
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0019,131.5576,131.5576
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0019,131.5576,131.5576
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0019,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0019,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0020,0.0000,0.0000
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0020,0.0000,0.0000
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0020,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0020,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0021,0.0000,0.0000
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0021,0.0000,0.0000
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0021,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0021,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0022,205.2876,205.2876
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0022,205.2876,205.2876
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0022,202.1576,202.1576
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0022,202.1576,202.1576
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0023,68.4936,68.4936
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0023,68.4936,68.4936
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0023,86.9752,86.9752
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0023,86.9752,86.9752
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0024,1.0500,1.0500
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0024,1.0500,1.0500
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0024,1.0500,1.0500
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0024,1.0500,1.0500
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0025,58.6500,58.6500
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0025,58.6500,58.6500
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0025,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0025,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0026,27.4280,27.4280
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0026,27.4280,27.4280
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0026,111.0000,111.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0026,111.0000,111.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0027,229.0672,229.0672
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0027,229.0672,229.0672
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0027,468.0672,468.0672
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0027,468.0672,468.0672
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0028,209.0828,209.0828
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0028,209.0828,209.0828
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0028,209.0828,209.0828
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0028,209.0828,209.0828
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0029,107.4336,107.4336
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0029,107.4336,107.4336
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0029,107.4336,107.4336
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0029,107.4336,107.4336
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0000,0.0000,0.0000
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0000,0.0000,0.0000
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0000,0.0000,0.0000
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0000,0.0000,0.0000
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0001,201.0284,201.0284
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0001,201.0284,201.0284
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0001,126.7832,126.7832
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0001,126.7832,126.7832
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0002,8.5688,8.5688
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0002,8.5688,8.5688
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0002,8.5688,8.5688
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0002,8.5688,8.5688
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0003,26.8016,26.8016
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0003,26.8016,26.8016
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0003,34.7468,34.7468
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0003,34.7468,34.7468
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0004,73.0656,73.0656
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0004,73.0656,73.0656
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0004,73.0656,73.0656
9,storm,150,a200_c100,edd,1.0,c09_storm_150_a200_c100_0004,73.0656,73.0656
9,storm,150,a200_c100,atc,0.5,c09_storm_150_a200_c100_0005,8.2728,8.2728
9,storm,150,a200_c100,edd,0.5,c09_storm_150_a200_c100_0005,8.2728,8.2728
9,storm,150,a200_c100,atc,1.0,c09_storm_150_a200_c100_0005,8.2728,8.2728
