campus,cell,beta,inst_id,nwo,st_true_optimal,sr_naive_optimal,sr_flow_status,wwt_naive,wwt_flow,feas_true,twt_true,twt_recorded,twt_rec_flow,twt_rec_atc,twt_rec_edd,twt_recorded_naive
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0004,150,True,True,OPTIMAL,0.0,0.0,True,18.4064,18.3320,18.4064,18.3320,18.3320,313.7354
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0004,150,True,True,OPTIMAL,0.0,0.0,True,39.3360,39.1896,39.3360,39.1896,39.1896,207.2414
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0005,150,True,True,OPTIMAL,88.04,88.04,True,325.8784,325.7520,325.8784,325.7520,325.7520,417.9584
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0005,150,True,True,OPTIMAL,88.04,88.04,True,345.2192,345.0512,345.2192,345.0512,345.0512,436.1792
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0006,150,True,True,OPTIMAL,37.76,37.76,True,254.4504,254.3472,254.4504,254.3472,254.3472,322.3976
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0006,150,True,True,OPTIMAL,37.76,37.76,True,86.8556,86.7716,86.8556,86.7716,86.7716,86.8556
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0007,150,True,True,OPTIMAL,10.92,10.92,True,210.6808,210.4480,210.6808,210.4480,210.4480,875.4596
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0007,150,True,True,OPTIMAL,10.92,10.92,True,105.8884,105.7736,105.8884,105.7736,105.7736,926.7868
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0008,150,True,True,OPTIMAL,144.0,144.0,True,144.0088,143.9496,144.0088,143.9496,143.9496,336.4258
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0008,150,True,True,OPTIMAL,144.0,144.0,True,152.1384,152.0704,152.1384,152.0704,152.0704,344.5554
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0009,150,True,True,OPTIMAL,159.72,159.72,True,128.5812,128.4640,128.5812,128.4640,128.4640,149.1564
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0009,150,True,True,OPTIMAL,159.72,159.72,True,148.5736,148.4172,148.5736,148.4172,148.4172,424.1652
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0010,150,True,True,OPTIMAL,81.12,81.12,True,88.1928,88.1276,88.1928,88.1276,88.1276,202.9004
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0010,150,True,True,OPTIMAL,81.12,81.12,True,89.1296,89.0196,89.1296,89.0196,89.0196,134.3184
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0011,150,True,True,OPTIMAL,263.88,263.88,True,218.2232,218.0976,218.2232,218.0976,218.0976,453.7486
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0011,150,True,True,OPTIMAL,263.88,263.88,True,197.6968,197.5856,197.6968,197.5856,197.5856,575.4146
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0012,150,True,True,OPTIMAL,60.0,60.0,True,128.6952,128.5584,128.6952,128.5584,128.5584,128.6952
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0012,150,True,True,OPTIMAL,60.0,60.0,True,142.1792,142.0368,142.1792,142.0368,142.0368,142.1792
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0013,150,True,True,OPTIMAL,0.0,0.0,True,178.9752,178.8320,178.9752,178.8320,178.8320,441.9284
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0013,150,True,True,OPTIMAL,0.0,0.0,True,178.9752,178.8320,178.9752,178.8320,178.8320,441.9284
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0014,150,True,True,OPTIMAL,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,122.1920
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0014,150,True,True,OPTIMAL,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0015,150,True,True,OPTIMAL,0.0,0.0,True,18.2248,18.2032,18.2248,18.2032,18.2032,59.0248
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0015,150,True,True,OPTIMAL,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0016,150,True,True,OPTIMAL,0.0,0.0,True,95.8784,95.7440,95.8784,95.7440,95.7440,717.0012
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0016,150,True,True,OPTIMAL,0.0,0.0,True,95.8784,95.7440,95.8784,95.7440,95.7440,534.9824
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0017,150,True,True,OPTIMAL,154.48,154.48,True,235.5536,235.3520,235.5536,235.3520,235.3520,235.5536
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0017,150,True,True,OPTIMAL,154.48,154.48,True,235.5536,235.5536,235.5536,275.6128,267.5580,235.5536
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0018,150,True,True,OPTIMAL,406.48,406.48,True,508.4808,510.6104,514.6384,510.6104,510.6104,997.6962
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0018,150,True,True,OPTIMAL,406.48,406.48,True,406.2376,405.9880,406.2376,405.9880,405.9880,894.1274
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0019,150,True,True,OPTIMAL,111.04,111.04,True,440.9104,440.7888,440.9104,440.7888,440.7888,820.7260
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0019,150,True,True,OPTIMAL,111.04,111.04,True,289.5428,289.4344,289.5428,289.4344,289.4344,295.5428
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0000,150,True,True,FEASIBLE,498.32,498.32,True,518.1584,517.8960,518.1584,517.8960,517.8960,1534.9254
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0000,150,True,True,FEASIBLE,498.32,498.32,True,359.6672,359.5060,359.6672,359.5060,359.5060,548.9840
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0001,150,True,True,FEASIBLE,61.76,61.76,True,104.5872,104.9840,109.1688,105.1280,104.9840,1547.7132
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0001,150,True,True,FEASIBLE,61.76,61.76,True,204.9044,205.6524,205.9844,205.7964,205.6524,1892.9718
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0002,150,True,True,FEASIBLE,1494.16,1494.16,True,969.0968,968.7464,969.0968,968.7464,968.7464,2330.9928
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0002,150,True,True,FEASIBLE,1494.16,1494.16,True,994.5464,994.2288,994.5464,994.2288,994.2288,2385.7762
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0003,150,True,True,FEASIBLE,203.2,203.2,True,415.4776,415.1364,415.4776,415.1364,415.1364,1189.2154
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0003,150,True,True,FEASIBLE,203.2,203.2,True,449.2704,448.9092,449.2704,448.9092,448.9092,904.2678
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0004,150,True,True,FEASIBLE,679.04,679.04,True,414.3900,414.2112,414.3900,414.2112,414.2112,824.3122
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0004,150,True,True,FEASIBLE,679.04,679.04,True,321.7716,321.6904,321.7716,321.6904,321.6904,452.0732
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0005,150,True,True,FEASIBLE,618.46,618.46,True,461.1500,460.8504,461.1500,460.8504,460.8504,1549.7096
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0005,150,True,True,FEASIBLE,618.46,618.46,True,478.6464,478.4152,478.6464,478.4152,478.4152,814.2654
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0006,150,True,True,FEASIBLE,1680.16,1680.16,True,968.4436,968.1776,968.4436,968.1776,968.1776,1516.3936
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0006,150,True,True,FEASIBLE,1680.16,1680.16,True,1353.6464,1353.3216,1353.6464,1353.3216,1353.3216,2480.7156
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0007,150,True,True,FEASIBLE,394.48,394.48,True,269.2380,269.2380,269.2380,269.7780,269.7780,466.5204
12,storm_a300_c80,1.0,c12_storm_150_a300_c80_0007,150,True,True,FEASIBLE,394.48,394.48,True,123.0304,123.0304,123.0304,123.5796,123.5796,163.2956
12,storm_a300_c80,0.5,c12_storm_150_a300_c80_0008,150,True,True,FEASIBLE,283.04,283.04,True,303.6804,303.4888,303.6804,303.4888,303.4888,435.0508
